id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
95662,83,MissedShots,0.7609999847412109,0.4279999923706055,0.027783500030636787,Mattia Zaccagni,a,1958,OpenPlay,2015,RightFoot,598,Inter,Verona,1,0,2015-09-23 22:45:00,Juanito Gómez,HeadPass
100393,83,MissedShots,0.7919999694824219,0.43099998474121093,0.04023120179772377,Mattia Zaccagni,h,1958,OpenPlay,2015,LeftFoot,698,Verona,Empoli,0,1,2015-12-06 18:00:00,Emil Hallfredsson,Pass
173981,42,MissedShots,0.9519999694824218,0.5279999923706055,0.13019999861717224,Mattia Zaccagni,h,1958,SetPiece,2017,Head,7552,Verona,Lazio,0,3,2017-09-24 14:00:00,,Rebound
174991,86,SavedShot,0.8119999694824219,0.33599998474121096,0.2725920081138611,Mattia Zaccagni,a,1958,OpenPlay,2017,RightFoot,7589,Atalanta,Verona,3,0,2017-10-25 17:30:00,,BallRecovery
175544,89,BlockedShot,0.855999984741211,0.6179999923706054,0.011429199948906898,Mattia Zaccagni,a,1958,OpenPlay,2017,Head,7611,Cagliari,Verona,2,1,2017-11-05 14:00:00,Daniele Verde,Cross
316702,20,ShotOnPost,0.9669999694824218,0.435,0.35615700483322144,Mattia Zaccagni,a,1958,FromCorner,2019,Head,13103,Lecce,Verona,0,1,2019-09-01 19:45:00,Amir Rrahmani,Rebound
318272,7,SavedShot,0.8880000305175781,0.4779999923706055,0.091798797249794,Mattia Zaccagni,h,1958,OpenPlay,2019,RightFoot,13112,Verona,AC Milan,0,1,2019-09-15 18:45:00,,None
320548,62,SavedShot,0.7619999694824219,0.7709999847412109,0.01537069957703352,Mattia Zaccagni,a,1958,OpenPlay,2019,RightFoot,13122,Juventus,Verona,2,1,2019-09-21 16:00:00,Matteo Pessina,Pass
323514,38,MissedShots,0.914000015258789,0.5120000076293946,0.29851800203323364,Mattia Zaccagni,a,1958,SetPiece,2019,Head,13139,Cagliari,Verona,1,1,2019-09-29 16:00:00,Miguel Veloso,Cross
325793,17,SavedShot,0.955999984741211,0.5359999847412109,0.5617030262947083,Mattia Zaccagni,a,1958,OpenPlay,2019,Head,13164,Napoli,Verona,2,0,2019-10-19 17:00:00,,Rebound
325795,19,SavedShot,0.91,0.6959999847412109,0.061416201293468475,Mattia Zaccagni,a,1958,OpenPlay,2019,RightFoot,13164,Napoli,Verona,2,0,2019-10-19 17:00:00,Darko Lazovic,TakeOn
328273,47,MissedShots,0.7909999847412109,0.7340000152587891,0.026986699551343918,Mattia Zaccagni,a,1958,OpenPlay,2019,RightFoot,13185,Parma Calcio 1913,Verona,0,1,2019-10-29 18:00:00,Miguel Veloso,Pass
329850,26,MissedShots,0.9490000152587891,0.5570000076293945,0.40849998593330383,Mattia Zaccagni,h,1958,OpenPlay,2019,Head,13193,Verona,Brescia,2,1,2019-11-03 14:00:00,Eddie Salcedo,Cross
353835,51,SavedShot,0.8190000152587891,0.6780000305175782,0.05970589816570282,Mattia Zaccagni,a,1958,OpenPlay,2019,RightFoot,13268,SPAL 2013,Verona,0,2,2020-01-05 14:00:00,Valerio Verre,TakeOn
353840,68,MissedShots,0.775,0.555,0.039962101727724075,Mattia Zaccagni,a,1958,OpenPlay,2019,RightFoot,13268,SPAL 2013,Verona,0,2,2020-01-05 14:00:00,Giampaolo Pazzini,Pass
354537,63,SavedShot,0.909000015258789,0.705999984741211,0.04872659966349602,Mattia Zaccagni,h,1958,OpenPlay,2019,LeftFoot,13271,Verona,Genoa,2,1,2020-01-12 17:00:00,Darko Lazovic,Pass
354539,64,Goal,0.975,0.4620000076293945,0.7504600286483765,Mattia Zaccagni,h,1958,OpenPlay,2019,RightFoot,13271,Verona,Genoa,2,1,2020-01-12 17:00:00,,Rebound
355159,78,BlockedShot,0.75,0.6880000305175781,0.018278200179338455,Mattia Zaccagni,a,1958,OpenPlay,2019,RightFoot,13280,Bologna,Verona,1,1,2020-01-19 14:00:00,Matteo Pessina,Pass
357193,62,ShotOnPost,0.885,0.6519999694824219,0.05079310014843941,Mattia Zaccagni,a,1958,OpenPlay,2019,LeftFoot,13305,AC Milan,Verona,1,1,2020-02-02 14:00:00,Matteo Pessina,Dispossessed
357740,41,BlockedShot,0.8419999694824218,0.715999984741211,0.0318882018327713,Mattia Zaccagni,a,1958,OpenPlay,2019,RightFoot,13252,Lazio,Verona,0,0,2020-02-05 19:45:00,Valerio Verre,Pass
358280,55,BlockedShot,0.9069999694824219,0.56,0.0988914966583252,Mattia Zaccagni,h,1958,OpenPlay,2019,RightFoot,13318,Verona,Juventus,2,1,2020-02-08 19:45:00,,None
359276,74,BlockedShot,0.8980000305175782,0.4179999923706055,0.6348230242729187,Mattia Zaccagni,a,1958,OpenPlay,2019,RightFoot,13328,Udinese,Verona,0,0,2020-02-16 11:30:00,Valerio Verre,TakeOn
362167,31,MissedShots,0.9830000305175781,0.445,0.5977360010147095,Mattia Zaccagni,a,1958,OpenPlay,2019,RightFoot,13346,Sampdoria,Verona,2,1,2020-03-08 14:00:00,Darko Lazovic,Cross
362182,88,BlockedShot,0.8280000305175781,0.4759999847412109,0.04643839970231056,Mattia Zaccagni,a,1958,FromCorner,2019,RightFoot,13346,Sampdoria,Verona,2,1,2020-03-08 14:00:00,,None
362183,91,MissedShots,0.8419999694824218,0.629000015258789,0.0641821026802063,Mattia Zaccagni,a,1958,OpenPlay,2019,RightFoot,13346,Sampdoria,Verona,2,1,2020-03-08 14:00:00,Darko Lazovic,TakeOn
367493,29,BlockedShot,0.835999984741211,0.7369999694824219,0.02766980044543743,Mattia Zaccagni,a,1958,OpenPlay,2019,RightFoot,13367,Sassuolo,Verona,3,3,2020-06-28 17:30:00,Marash Kumbulla,Pass
