goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,26,Sub,Torino,Sassuolo,2,1,2026-05-08,30203,2025,788490,0,0,0,0,0,0,0
1,3,0.16278186440467834,62,FWR,Sassuolo,AC Milan,2,0,2026-05-03,30192,2025,787566,0.9477596282958984,0,1,1,0.16278186440467834,1.7538071870803833,0.6432656049728394
0,3,0.16840188205242157,46,FWR,Genoa,Sassuolo,2,1,2026-04-12,30159,2025,782076,0.08391546458005905,0,1,0,0.16840188205242157,0.24989305436611176,0.08149116486310959
0,2,0.10056235641241074,90,AMR,Sassuolo,Cagliari,2,1,2026-04-04,30151,2025,779896,0,0,0,0,0.10056235641241074,0.06675243377685547,0.06675243377685547
0,0,0,90,MR,Juventus,Sassuolo,1,1,2026-03-21,30140,2025,778852,0.5188191533088684,1,2,0,0,0.4030166268348694,0.4030166268348694
0,0,0,89,FWR,Sassuolo,Bologna,0,1,2026-03-15,30130,2025,777375,0.09516169875860214,0,2,0,0,0.12472662329673767,0.0498284250497818
0,0,0,90,FWR,Lazio,Sassuolo,2,1,2026-03-09,30120,2025,776275,0.08620884269475937,0,1,0,0,0.12901434302330017,0.0428055003285408
0,0,0,75,FWR,Sassuolo,Atalanta,2,1,2026-03-01,30112,2025,773900,0.7427370548248291,0,3,0,0,0.3584936857223511,0
2,3,1.6481797695159912,90,FWR,Sassuolo,Verona,3,0,2026-02-20,30103,2025,771289,0.18213415145874023,0,3,2,0.8868809342384338,0.4078871011734009,0.13116736710071564
0,1,0.07629569619894028,85,FWR,Udinese,Sassuolo,1,2,2026-02-15,30093,2025,770677,0.15915942192077637,0,2,0,0.07629569619894028,1.0565555095672607,0.8211004734039307
0,1,0.1340586096048355,61,FWR,Sassuolo,Inter,0,5,2026-02-08,30075,2025,769457,0,0,0,0,0.1340586096048355,0.2552351951599121,0.1211765855550766
1,6,0.8329483866691589,86,FWR,Pisa,Sassuolo,1,3,2026-01-31,30071,2025,766940,0.4533669352531433,0,2,1,0.8329483866691589,1.387952208518982,0.15736716985702515
0,0,0,30,Sub,Sassuolo,Cremonese,1,0,2026-01-25,30062,2025,766003,0,0,0,0,0,0,0
0,1,0.03115948475897312,52,FWR,Como,Sassuolo,2,0,2025-11-28,29966,2025,753279,0.05169558525085449,0,2,0,0.03115948475897312,0.1627102792263031,0.09856896102428436
0,3,0.19125208258628845,90,FWR,Sassuolo,Pisa,2,2,2025-11-24,29961,2025,753139,0.10613787919282913,0,2,0,0.19125208258628845,1.2363591194152832,0.938969075679779
2,2,1.2166800498962402,90,FWR,Atalanta,Sassuolo,0,3,2025-11-09,29944,2025,750615,0.20685240626335144,1,2,1,0.45538127422332764,0.9004257321357727,0.23819202184677124
1,2,0.5426648855209351,81,FWR,Sassuolo,Genoa,1,2,2025-11-03,29940,2025,751468,0.05961345136165619,0,1,1,0.5426648855209351,0.2709871232509613,0.15978090465068817
0,0,0,63,FWR,Sassuolo,Roma,0,1,2025-10-26,29922,2025,746723,0.4165295660495758,0,3,0,0,0.08801906555891037,0.08801906555891037
0,2,0.5952052474021912,90,FWR,Lecce,Sassuolo,0,0,2025-10-18,29910,2025,743967,0.018581882119178772,0,1,0,0.5952052474021912,0.6307265162467957,0.016939334571361542
0,1,0.015417276881635189,90,FWR,Sassuolo,Udinese,3,1,2025-09-28,29893,2025,741133,0.18869800865650177,1,3,0,0.015417276881635189,1.6040425300598145,1.3999272584915161
0,3,0.11567551642656326,90,FWR,Inter,Sassuolo,2,1,2025-09-21,29880,2025,739766,0.3460140824317932,1,1,0,0.11567551642656326,0.46168962121009827,0.3460140824317932
0,1,0.02726088836789131,85,FWR,Sassuolo,Lazio,1,0,2025-09-14,29870,2025,737878,0,0,0,0,0.02726088836789131,0.2966746687889099,0.2694137990474701
1,2,0.8011975884437561,90,FWR,Cremonese,Sassuolo,3,2,2025-08-29,29854,2025,734628,0,0,0,0,0.03989873826503754,0,0
0,1,0.03784015402197838,90,FWR,Sassuolo,Napoli,0,2,2025-08-23,29845,2025,733457,0,0,0,0,0.03784015402197838,0.1571287363767624,0.11928858608007431
0,1,0.06298190355300903,61,FWR,Verona,Sassuolo,1,0,2024-03-03,22567,2023,645386,0.05661926418542862,0,2,0,0.06298190355300903,0.05661926418542862,0
0,2,0.09054408222436905,71,AMR,Juventus,Sassuolo,3,0,2024-01-16,22498,2023,635627,0.06507765501737595,0,1,0,0.09054408222436905,0.155621737241745,0.06507765501737595
0,2,0.029831768944859505,82,AMR,Sassuolo,Fiorentina,1,0,2024-01-06,22490,2023,634257,0,0,0,0,0.029831768944859505,0.08036661893129349,0.05053485184907913
0,3,0.06638230383396149,71,AMR,AC Milan,Sassuolo,1,0,2023-12-30,22481,2023,633599,0.019235478714108467,0,1,0,0.06638230383396149,0.0856177881360054,0
2,5,1.6074860095977783,90,AMR,Udinese,Sassuolo,2,2,2023-12-17,22464,2023,630999,0,0,0,0,0.08488839119672775,0.08488839119672775,0
