goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Bologna,Roma,0,2,2026-04-25,30174,2025,785625,0,0,0,0,0,0.061014655977487564,0.061014655977487564
0,0,0,90,GK,Juventus,Bologna,2,0,2026-04-19,30165,2025,784187,0,0,0,0,0,0,0
0,0,0,90,GK,Cremonese,Bologna,1,2,2026-04-05,30144,2025,780549,0,0,0,0,0,0.21199707686901093,0.21199707686901093
0,0,0,90,GK,Bologna,Lazio,0,2,2026-03-22,30135,2025,779171,0,0,0,0,0,0.038549765944480896,0.038549765944480896
0,0,0,90,GK,Bologna,AC Milan,0,3,2026-02-03,30064,2025,768212,0,0,0,0,0,0.06711903214454651,0.06711903214454651
0,0,0,28,Sub,Genoa,Bologna,3,2,2026-01-25,30057,2025,766237,0,0,0,0,0,0,0
0,0,0,90,GK,Bologna,Fiorentina,1,2,2026-01-18,30052,2025,764730,0,0,0,0,0,0.06036325916647911,0.06036325916647911
0,0,0,90,GK,Verona,Bologna,2,3,2026-01-15,30003,2025,763676,0,0,0,0,0,0.08087118715047836,0.08087118715047836
0,0,0,90,GK,Como,Bologna,1,1,2026-01-10,30035,2025,762702,0,0,0,0,0,0,0
0,0,0,90,GK,Bologna,Atalanta,0,2,2026-01-07,30024,2025,762109,0,0,0,0,0,0.13111044466495514,0.13111044466495514
0,0,0,90,GK,Inter,Bologna,3,1,2026-01-04,30019,2025,761940,0,0,0,0,0,0,0
0,0,0,90,GK,Bologna,Sassuolo,1,1,2025-12-28,30004,2025,760404,0,0,0,0,0,0.06307737529277802,0.06307737529277802
0,0,0,90,GK,Bologna,Juventus,0,1,2025-12-14,29985,2025,758535,0,0,0,0,0,0.21220442652702332,0.21220442652702332
0,0,0,90,GK,Lazio,Bologna,1,1,2025-12-07,29977,2025,756951,0,0,0,0,0,0.1152479276061058,0.1152479276061058
0,0,0,90,GK,Bologna,Cremonese,1,3,2025-12-01,29965,2025,754861,0,0,0,0,0,0,0
0,0,0,90,GK,Udinese,Bologna,0,3,2025-11-22,29963,2025,751754,0,0,0,0,0,0.04252687469124794,0.04252687469124794
0,0,0,90,GK,Cagliari,Bologna,0,2,2025-10-19,29905,2025,744824,0,0,0,0,0,0.017544539645314217,0.017544539645314217
0,0,0,90,GK,Bologna,Genoa,1,3,2025-05-24,27734,2024,729653,0,0,0,0,0,0.017275052145123482,0.017275052145123482
0,0,0,90,GK,Bologna,Inter,1,0,2025-04-20,27682,2024,721340,0,0,0,0,0,0.02009964920580387,0.02009964920580387
0,0,0,90,GK,Atalanta,Bologna,2,0,2025-04-13,27674,2024,719074,0,0,0,0,0,0,0
0,0,0,66,Sub,Bologna,Napoli,1,1,2025-04-07,27665,2024,718049,0,0,0,0,0,0,0
0,0,0,90,GK,Parma Calcio 1913,Bologna,2,0,2025-02-22,27616,2024,707590,0,0,0,0,0,0.16748851537704468,0.16748851537704468
0,0,0,90,GK,Bologna,Monza,3,1,2025-01-18,27571,2024,699810,0,0,0,0,0,0,0
0,0,0,90,GK,Torino,Bologna,0,2,2024-12-21,27527,2024,695085,0,0,0,0,0,0.08827574551105499,0.08827574551105499
0,0,0,90,GK,Lazio,Bologna,3,0,2024-11-24,27486,2024,689412,0,0,0,0,0,0,0
0,0,0,90,GK,Bologna,Lecce,1,0,2024-11-02,27467,2024,684713,0,0,0,0,0,0.2701123356819153,0.2701123356819153
0,0,0,90,GK,Genoa,Bologna,2,2,2024-10-19,27434,2024,681051,0,0,0,0,0,0.02876019850373268,0.02876019850373268
0,0,0,90,GK,Bologna,Parma Calcio 1913,0,0,2024-10-06,27424,2024,680167,0,0,0,0,0,0.10066167265176773,0.10066167265176773
0,0,0,90,GK,Monza,Bologna,1,2,2024-09-22,27409,2024,676251,0.04431956261396408,0,1,0,0,0.46438276767730713,0.42006319761276245
0,0,0,88,GK,Genoa,Bologna,2,0,2024-05-24,22683,2023,664190,0,0,0,0,0,0.035037510097026825,0.035037510097026825
0,0,0,90,GK,Napoli,Bologna,0,2,2024-05-11,22662,2023,660763,0,0,0,0,0,0.09438417106866837,0.09438417106866837
0,0,0,90,GK,Bologna,Salernitana,3,0,2024-04-01,22596,2023,650789,0,0,0,0,0,1.017222285270691,1.017222285270691
0,0,0,90,GK,Bologna,Fiorentina,2,0,2024-02-14,22505,2023,641293,0,0,0,0,0,0.1821621209383011,0.1821621209383011
0,0,0,90,GK,Bologna,Genoa,1,1,2024-01-05,22485,2023,634129,0,0,0,0,0,0.12679614126682281,0.12679614126682281
0,0,0,90,GK,Bologna,Roma,2,0,2023-12-17,22456,2023,631160,0,0,0,0,0,0.11195199936628342,0.11195199936628342
0,0,0,90,GK,Verona,Bologna,2,2,2021-05-17,15787,2020,472275,0,0,0,0,0,0,0
0,0,0,90,GK,Bologna,Genoa,0,2,2021-05-12,15778,2020,470224,0,0,0,0,0,0,0
0,0,0,90,GK,Bologna,Inter,0,1,2021-04-03,15708,2020,459912,0,0,0,0,0,0,0
0,0,0,90,GK,Bologna,Roma,1,5,2020-12-13,15527,2020,433726,0,0,0,0,0,0,0
