goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,4,0.28277158737182617,75,AMR,Verona,Inter,2,2,2024-05-26,22679,2023,664905,0,0,0,0,0.28277158737182617,0.23156782984733582,0.037759553641080856
0,1,0.0588967390358448,60,AMR,Lazio,Verona,1,0,2024-04-27,22635,2023,657295,0.05424536019563675,0,2,0,0.0588967390358448,0.11314210295677185,0
0,0,0,59,AMR,Verona,Udinese,1,0,2024-04-20,22628,2023,655081,0,0,0,0,0,0,0
0,0,0,12,Sub,Atalanta,Verona,2,2,2024-04-15,22624,2023,654296,0,0,0,0,0,0,0
0,1,0.011675837449729443,27,Sub,Verona,Genoa,1,2,2024-04-07,22606,2023,652492,0,0,0,0,0.011675837449729443,0.026061611250042915,0.014385773800313473
0,1,0.05470388010144234,47,AML,Cagliari,Verona,1,1,2024-04-01,22595,2023,650846,0.012679627165198326,0,1,0,0.05470388010144234,0.13323000073432922,0.06584648787975311
0,0,0,31,Sub,Verona,AC Milan,1,3,2024-03-17,22588,2023,648783,0,0,0,0,0,0.09382669627666473,0.09382669627666473
0,0,0,12,Sub,Lecce,Verona,0,1,2024-03-10,22581,2023,647088,0,0,0,0,0,0,0
0,0,0,29,Sub,Verona,Sassuolo,1,0,2024-03-03,22567,2023,645377,0,0,0,0,0,0,0
0,0,0,25,Sub,Bologna,Verona,2,0,2024-02-23,22555,2023,642953,0,0,0,0,0,0,0
