goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,77,MC,Inter,Parma Calcio 1913,2,0,2026-05-03,30188,2025,788231,0,0,0,0,0,0.06961679458618164,0.06961679458618164
0,0,0,79,MC,Parma Calcio 1913,Pisa,1,0,2026-04-25,30181,2025,785261,0.049326587468385696,0,2,0,0,0.09981215745210648,0.07493719458580017
0,2,0.042234551161527634,69,MC,Udinese,Parma Calcio 1913,0,1,2026-04-18,30171,2025,783114,0.14258642494678497,0,2,0,0.042234551161527634,0.07393400371074677,0
0,0,0,68,MC,Parma Calcio 1913,Napoli,1,1,2026-04-12,30161,2025,782215,0,0,0,0,0,0,0
0,2,0.04372093454003334,80,MC,Lazio,Parma Calcio 1913,1,1,2026-04-04,30147,2025,780368,0.09108693897724152,0,2,0,0.04372093454003334,0.21268177032470703,0.14819584786891937
0,3,0.09071067720651627,89,MC,Parma Calcio 1913,Cagliari,1,1,2026-02-27,30106,2025,772827,0.46060922741889954,0,3,0,0.09071067720651627,0.4520077109336853,0
0,1,0.015377751551568508,63,MC,AC Milan,Parma Calcio 1913,0,1,2026-02-22,30101,2025,772473,0,0,0,0,0.015377751551568508,0.18619102239608765,0.17081326246261597
1,5,0.15106219053268433,90,MC,Parma Calcio 1913,Verona,2,1,2026-02-15,30090,2025,770757,0.05868072435259819,0,3,1,0.15106219053268433,1.2098358869552612,1.1012707948684692
0,1,0.05973333865404129,90,MC,Bologna,Parma Calcio 1913,0,1,2026-02-08,30078,2025,769075,0.016023952513933182,0,1,0,0.05973333865404129,0.016023952513933182,0
0,0,0,77,MC,Parma Calcio 1913,Juventus,1,4,2026-02-01,30070,2025,768062,0.10022005438804626,0,3,0,0,0.05227699503302574,0
0,1,0.011858709156513214,90,AMC,Atalanta,Parma Calcio 1913,4,0,2026-01-25,30054,2025,766202,1.1492034196853638,0,7,0,0.011858709156513214,0.33029648661613464,0.22476732730865479
0,4,0.09967724233865738,77,MC,Parma Calcio 1913,Genoa,0,0,2026-01-18,30048,2025,764618,0.10306068509817123,0,3,0,0.09967724233865738,0.1034250259399414,0.06338890641927719
0,0,0,29,Sub,Napoli,Parma Calcio 1913,0,0,2026-01-14,30001,2025,763503,0,0,0,0,0,0,0
0,1,0.016990888863801956,82,MC,Lecce,Parma Calcio 1913,1,2,2026-01-11,30040,2025,763055,0.6706420183181763,1,4,0,0.016990888863801956,0.26423853635787964,0.12700331211090088
0,1,0.013234653510153294,76,MC,Parma Calcio 1913,Inter,0,2,2026-01-07,30030,2025,762296,0,0,0,0,0.013234653510153294,0.013234653510153294,0
0,1,0.02020462602376938,90,MC,Sassuolo,Parma Calcio 1913,1,1,2026-01-03,30022,2025,761035,0.4124775230884552,0,5,0,0.02020462602376938,0.6093500256538391,0.17666788399219513
0,0,0,81,MC,Parma Calcio 1913,Fiorentina,1,0,2025-12-27,30008,2025,759928,0.023263240233063698,0,1,0,0,0.11528388410806656,0.11528388410806656
0,4,0.26297077536582947,90,MR,Parma Calcio 1913,Lazio,0,1,2025-12-13,29990,2025,757743,0.07456562668085098,0,1,0,0.26297077536582947,0.35402438044548035,0.23381902277469635
0,1,0.035269543528556824,77,MC,Pisa,Parma Calcio 1913,0,1,2025-12-08,29979,2025,757109,0.21671701967716217,0,1,0,0.035269543528556824,0.2677769958972931,0.015790432691574097
0,0,0,81,MC,Parma Calcio 1913,Udinese,0,2,2025-11-29,29971,2025,753540,0.05428794398903847,0,2,0,0,0.27107274532318115,0.23199933767318726
0,2,0.13519538938999176,89,MC,Verona,Parma Calcio 1913,1,2,2025-11-23,29954,2025,752509,0.07775548845529556,0,3,0,0.13519538938999176,0.14238490164279938,0.02811391092836857
1,2,0.5424988865852356,85,MC,Parma Calcio 1913,AC Milan,2,2,2025-11-08,29951,2025,750476,0.03343837335705757,0,1,1,0.5424988865852356,0.9991371035575867,0.4231998324394226
1,2,0.332927942276001,90,AMC,Parma Calcio 1913,Bologna,1,3,2025-11-02,29939,2025,749365,0.11371046304702759,0,1,1,0.332927942276001,0.46651971340179443,0.019881313666701317
0,3,0.13541018962860107,81,MR,Roma,Parma Calcio 1913,2,1,2025-10-29,29933,2025,747451,0.011654666624963284,0,1,0,0.13541018962860107,0.6122868657112122,0.5236901044845581
0,2,0.28700318932533264,77,DMR,Parma Calcio 1913,Como,0,0,2025-10-25,29921,2025,745650,0,0,0,0,0.28700318932533264,0.27458488941192627,0.013728640973567963
0,0,0,42,MC,Genoa,Parma Calcio 1913,0,0,2025-10-19,29909,2025,744800,0.05448725447058678,0,1,0,0,0.05448725447058678,0
0,1,0.022803325206041336,87,MC,Parma Calcio 1913,Lecce,0,1,2025-10-04,29901,2025,742224,0.10013512521982193,0,2,0,0.022803325206041336,0.16547155380249023,0.1426682323217392
0,3,0.12111464142799377,84,MC,Parma Calcio 1913,Torino,2,1,2025-09-29,29890,2025,741818,0.05694069713354111,0,1,0,0.12111464142799377,0.19630828499794006,0.08086702227592468
0,2,0.03619399666786194,88,MC,Cremonese,Parma Calcio 1913,0,0,2025-09-21,29878,2025,739302,0.0934632420539856,0,1,0,0.03619399666786194,0.21816493570804596,0.18197093904018402
0,3,0.09604237973690033,84,MC,Cagliari,Parma Calcio 1913,2,0,2025-09-13,29864,2025,736615,0.43758323788642883,0,2,0,0.09604237973690033,0.6748142838478088,0.17325589060783386
0,2,0.02844424732029438,90,MC,Parma Calcio 1913,Atalanta,1,1,2025-08-30,29857,2025,735290,0.016906434670090675,0,1,0,0.02844424732029438,0.02844424732029438,0
0,1,0.02215879037976265,90,MC,Juventus,Parma Calcio 1913,2,0,2025-08-24,29851,2025,734379,0.0226124357432127,0,1,0,0.02215879037976265,0,0
0,2,0.07453922927379608,83,Sub,Atalanta,Parma Calcio 1913,2,3,2025-05-25,27733,2024,730433,0.3290112614631653,1,1,0,0.07453922927379608,1.1737134456634521,0.7701629996299744
0,0,0,14,Sub,Parma Calcio 1913,Napoli,0,0,2025-05-18,27729,2024,729073,0,0,0,0,0,0,0
0,0,0,9,MC,Parma Calcio 1913,Juventus,1,0,2025-04-23,27689,2024,721842,0,0,0,0,0,0,0
0,1,0.4040839374065399,69,MC,Fiorentina,Parma Calcio 1913,0,0,2025-04-13,27676,2024,719173,0.011560450308024883,0,1,0,0.4040839374065399,0.4156443774700165,0.4156443774700165
1,1,0.017144406214356422,42,Sub,Parma Calcio 1913,Inter,2,2,2025-04-05,27670,2024,717027,0,0,0,1,0.017144406214356422,0.017144406214356422,0.017144406214356422
0,2,0.09149958938360214,89,MC,Verona,Parma Calcio 1913,0,0,2025-03-31,27660,2024,715869,0,0,0,0,0.09149958938360214,0.24402529001235962,0.24402529001235962
0,0,0,82,MC,Monza,Parma Calcio 1913,1,1,2025-03-15,27642,2024,712821,0,0,0,0,0,0.2995195984840393,0.2995195984840393
0,0,0,4,MC,Parma Calcio 1913,Bologna,2,0,2025-02-22,27616,2024,707580,0,0,0,0,0,0,0
0,1,0.0801783874630928,80,MC,Parma Calcio 1913,Roma,0,1,2025-02-16,27606,2024,707047,0,0,0,0,0.0801783874630928,0.0801783874630928,0
0,1,0.053449247032403946,90,MC,Cagliari,Parma Calcio 1913,2,1,2025-02-09,27593,2024,705358,0.08351582288742065,0,1,0,0.053449247032403946,0.2632729411125183,0.17975711822509766
0,0,0,16,MC,Parma Calcio 1913,Genoa,0,1,2024-11-04,27469,2024,686017,0.01529478095471859,0,1,0,0,0.01529478095471859,0
0,4,0.2520391643047333,90,DMC,Juventus,Parma Calcio 1913,2,2,2024-10-30,27457,2024,684368,0.19457264244556427,0,2,0,0.2520391643047333,0.5212371349334717,0.17245757579803467
0,3,0.10377369821071625,85,DMC,Parma Calcio 1913,Empoli,1,1,2024-10-27,27449,2024,683421,0.026346836239099503,0,1,0,0.10377369821071625,0.1883019059896469,0.1619550734758377
0,2,0.1163698211312294,90,MC,Como,Parma Calcio 1913,1,1,2024-10-19,27436,2024,681025,0.021640120074152946,0,1,0,0.1163698211312294,0.7333112359046936,0.6674628257751465
0,1,0.039068326354026794,89,DMC,Bologna,Parma Calcio 1913,0,0,2024-10-06,27424,2024,680188,0.11238858103752136,0,3,0,0.039068326354026794,0.6827162504196167,0.6223855018615723
0,2,0.06919089704751968,90,DMC,Parma Calcio 1913,Cagliari,2,3,2024-09-30,27419,2024,678897,0.3835505545139313,0,4,0,0.06919089704751968,1.5708105564117432,1.5067219734191895
0,2,0.10422780364751816,90,DMC,Lecce,Parma Calcio 1913,2,2,2024-09-21,27408,2024,676071,0.21368785202503204,0,4,0,0.10422780364751816,0.36912667751312256,0.2840612828731537
0,0,0,90,DMC,Parma Calcio 1913,Udinese,2,3,2024-09-16,27400,2024,674899,0.05438930168747902,0,1,0,0,0.2961554527282715,0.2961554527282715
0,4,0.09325173497200012,90,DMC,Napoli,Parma Calcio 1913,2,1,2024-08-31,27386,2024,672262,0.17352867126464844,0,2,0,0.09325173497200012,0.849907398223877,0.6132736802101135
0,0,0,90,DMC,Parma Calcio 1913,AC Milan,2,1,2024-08-24,27372,2024,668235,0,0,0,0,0,0.5934738516807556,0.5934738516807556
0,1,0.01342834997922182,82,AMC,Parma Calcio 1913,Fiorentina,1,1,2024-08-17,27363,2024,666549,0.030776740983128548,0,1,0,0.01342834997922182,0.1383749097585678,0.12494655698537827
