id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
635515,48,MissedShots,0.9490000152587891,0.5170000076293946,0.13079552352428436,Alessandro Circati,h,12783,FromCorner,2024,Head,27729,Parma Calcio 1913,Napoli,0,0,2025-05-18 18:45:00,Hernani,Cross
636634,77,BlockedShot,0.9209999847412109,0.48900001525878906,0.04699384421110153,Alessandro Circati,a,12783,FromCorner,2024,Head,27733,Atalanta,Parma Calcio 1913,2,3,2025-05-25 18:45:00,Jacob Ondrejka,Aerial
650189,85,Goal,0.9330000305175781,0.47400001525878904,0.4066007435321808,Alessandro Circati,a,12783,OpenPlay,2025,RightFoot,29933,Roma,Parma Calcio 1913,2,1,2025-10-29 16:30:00,Adrian Benedyczak,HeadPass
663992,34,BlockedShot,0.9330000305175781,0.5790000152587891,0.025899840518832207,Alessandro Circati,h,12783,FromCorner,2025,Head,30048,Parma Calcio 1913,Genoa,0,0,2026-01-18 11:30:00,Adrián Bernabé,Aerial
665241,5,MissedShots,0.9640000152587891,0.40099998474121096,0.017229612916707993,Alessandro Circati,a,12783,FromCorner,2025,Head,30054,Atalanta,Parma Calcio 1913,4,0,2026-01-25 14:00:00,Nahuel Estévez,Aerial
673094,90,BlockedShot,0.9009999847412109,0.465,0.09135471284389496,Alessandro Circati,a,12783,SetPiece,2025,LeftFoot,30117,Fiorentina,Parma Calcio 1913,0,0,2026-03-08 14:00:00,Mariano Troilo,HeadPass
673565,47,MissedShots,0.9009999847412109,0.3920000076293945,0.01014643907546997,Alessandro Circati,a,12783,SetPiece,2025,Head,30131,Torino,Parma Calcio 1913,4,1,2026-03-13 19:45:00,Emanuele Valeri,Aerial
676832,14,BlockedShot,0.8859999847412109,0.47,0.019071359187364578,Alessandro Circati,a,12783,SetPiece,2025,Head,30147,Lazio,Parma Calcio 1913,1,1,2026-04-04 18:45:00,Emanuele Valeri,Aerial
679040,2,MissedShots,0.9640000152587891,0.46299999237060546,0.08281846344470978,Alessandro Circati,a,12783,FromCorner,2025,Head,30171,Udinese,Parma Calcio 1913,0,1,2026-04-18 13:00:00,Gabriel Strefezza,Aerial
680802,13,BlockedShot,0.899000015258789,0.5329999923706055,0.08331508189439774,Alessandro Circati,h,12783,FromCorner,2025,RightFoot,30181,Parma Calcio 1913,Pisa,1,0,2026-04-25 13:00:00,,Tackle
