goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,2,0.1355162262916565,78,AMC,FC Cologne,FC Heidenheim,1,3,2026-05-10,30514,2025,789502,1.0610370635986328,1,3,1,0.1355162262916565,1.2995076179504395,0.10295435041189194
0,0,0,84,FWL,Bayern Munich,FC Heidenheim,3,3,2026-05-02,30504,2025,787026,0.8507062196731567,1,3,0,0,1.8453620672225952,0.9946558475494385
0,0,0,1,Sub,FC Heidenheim,St. Pauli,2,0,2026-04-25,30498,2025,785391,0,0,0,0,0,0,0
0,1,0.04417617991566658,75,MR,Freiburg,FC Heidenheim,2,1,2026-04-19,30489,2025,783851,0.5939353704452515,0,3,0,0.04417617991566658,0.5939353704452515,0
0,0,0,11,Sub,FC Heidenheim,Union Berlin,3,1,2026-04-11,30479,2025,781602,0.13464543223381042,0,1,0,0,0.16467884182929993,0.16467884182929993
0,0,0,25,Sub,Borussia M.Gladbach,FC Heidenheim,2,2,2026-04-04,30468,2025,780042,0.08355601131916046,0,1,0,0,0,0
0,0,0,63,FWL,Eintracht Frankfurt,FC Heidenheim,1,0,2026-03-14,30452,2025,776650,0,0,0,0,0,0,0
0,3,0.5193742513656616,90,AMC,Werder Bremen,FC Heidenheim,2,0,2026-02-28,30439,2025,773146,0.0463435985147953,0,1,0,0.5193742513656616,0.9405527710914612,0.37483492493629456
1,3,0.9786079525947571,90,DMR,FC Heidenheim,VfB Stuttgart,3,3,2026-02-22,30425,2025,772516,0.06269438564777374,0,2,0,0.22083128988742828,0.24885666370391846,0
0,4,0.12770800292491913,90,DMR,Augsburg,FC Heidenheim,1,0,2026-02-15,30413,2025,770831,0.07929399609565735,0,2,0,0.12770800292491913,0.23768644034862518,0.07010456919670105
0,0,0,67,AMC,FC Heidenheim,Hamburger SV,0,2,2026-02-07,30408,2025,768500,0.16632221639156342,0,3,0,0,0.16632221639156342,0
0,1,0.3337659239768982,39,Sub,Borussia Dortmund,FC Heidenheim,3,2,2026-02-01,30396,2025,767960,0.6131364703178406,0,2,0,0.3337659239768982,0.41547778248786926,0.08171184360980988
0,2,0.38403064012527466,64,AMR,FC Heidenheim,RasenBallsport Leipzig,0,3,2026-01-24,30391,2025,765479,0,0,0,0,0.38403064012527466,0.38403064012527466,0
0,0,0,90,AMR,Wolfsburg,FC Heidenheim,1,1,2026-01-17,30385,2025,763992,0.1988634169101715,0,4,0,0,0.12155129760503769,0.0941695123910904
0,4,0.24640527367591858,90,AMC,Mainz 05,FC Heidenheim,2,1,2026-01-13,30373,2025,763433,0.10905004292726517,0,2,0,0.24640527367591858,0.3704504370689392,0.09493153542280197
0,3,0.17183686792850494,64,AMC,FC Heidenheim,FC Cologne,2,2,2026-01-10,30364,2025,762789,0.6368921399116516,0,1,0,0.17183686792850494,0.7454826831817627,0.0205219853669405
0,1,0.3156076967716217,43,Sub,FC Heidenheim,Bayern Munich,0,4,2025-12-21,30354,2025,759681,0,0,0,0,0.3156076967716217,0.3156076967716217,0
0,1,0.07057763636112213,90,AMC,St. Pauli,FC Heidenheim,2,1,2025-12-13,30347,2025,757512,0.0814976915717125,0,3,0,0.07057763636112213,0.4544500410556793,0.4544500410556793
0,0,0,41,Sub,FC Heidenheim,Freiburg,2,1,2025-12-06,30338,2025,755760,0.45693790912628174,0,2,0,0,0.42202049493789673,0
0,0,0,27,Sub,Union Berlin,FC Heidenheim,1,2,2025-11-29,30330,2025,753467,0.15310415625572205,1,4,0,0,0.17472942173480988,0.11288781464099884
0,1,0.0976870208978653,65,MR,FC Heidenheim,Borussia M.Gladbach,0,3,2025-11-22,30318,2025,751840,0.20775781571865082,0,3,0,0.0976870208978653,0.25555679202079773,0
0,1,0.06337696313858032,90,AMC,Bayer Leverkusen,FC Heidenheim,6,0,2025-11-08,30305,2025,750156,0,0,0,0,0.06337696313858032,0.06337696313858032,0
0,1,0.016458792611956596,90,MR,FC Heidenheim,Eintracht Frankfurt,1,1,2025-11-01,30299,2025,748184,0.6637754440307617,1,3,0,0.016458792611956596,0.6637754440307617,0
0,2,0.16975460946559906,90,AMC,Hoffenheim,FC Heidenheim,3,1,2025-10-25,30293,2025,745762,0.1187281683087349,0,2,0,0.16975460946559906,0.16975460946559906,0
0,8,0.5358486771583557,90,ML,FC Heidenheim,Werder Bremen,2,2,2025-10-18,30281,2025,744014,0.1431047022342682,0,3,0,0.5358486771583557,0.7910984754562378,0.6401102542877197
0,0,0,90,ML,VfB Stuttgart,FC Heidenheim,1,0,2025-10-05,30275,2025,743194,0,0,0,0,0,0.1316670924425125,0.1316670924425125
0,1,0.10574719309806824,90,FWL,FC Heidenheim,Augsburg,2,1,2025-09-27,30261,2025,740573,0.08513423055410385,0,2,0,0.10574719309806824,0.10574719309806824,0
0,3,0.45366159081459045,81,AMC,Hamburger SV,FC Heidenheim,2,1,2025-09-20,30254,2025,738423,0.07349520921707153,0,2,0,0.45366159081459045,0.6065764427185059,0.10937948524951935
0,1,0.05415827035903931,87,AMR,FC Heidenheim,Borussia Dortmund,0,2,2025-09-13,30244,2025,736725,0.037823665887117386,0,2,0,0.05415827035903931,0.06413412094116211,0
0,1,0.33995845913887024,60,AMR,RasenBallsport Leipzig,FC Heidenheim,2,0,2025-08-30,30235,2025,734934,0,0,0,0,0.33995845913887024,0.12332813441753387,0.12332813441753387
0,0,0,73,AMC,FC Heidenheim,Wolfsburg,1,3,2025-08-23,30225,2025,733082,0.024526240304112434,0,1,0,0,0.033022210001945496,0.008495970629155636
0,2,0.06202208250761032,6,Sub,Bologna,Lazio,5,0,2025-03-16,27645,2024,713773,0,0,0,0,0.06202208250761032,0.06202208250761032,0
0,0,0,1,Sub,Bayern Munich,FC Heidenheim,4,2,2024-12-07,27857,2024,692049,0,0,0,0,0,0,0
0,0,0,6,Sub,Frosinone,Inter,0,5,2024-05-10,22657,2023,660170,0,0,0,0,0,0.06901396065950394,0.06901396065950394
0,0,0,1,Sub,Empoli,Frosinone,0,0,2024-05-05,22646,2023,659384,0,0,0,0,0,0,0
0,0,0,7,Sub,Genoa,Frosinone,1,1,2024-03-30,22602,2023,649519,0,0,0,0,0,0,0
0,2,0.08614612370729446,24,Sub,Sassuolo,Frosinone,1,0,2024-03-09,22580,2023,646495,0,0,0,0,0.08614612370729446,0.3085675537586212,0.24395440518856049
0,0,0,2,Sub,Frosinone,AC Milan,2,3,2024-02-03,22531,2023,638707,0,0,0,0,0,0,0
0,0,0,3,Sub,Atalanta,Frosinone,5,0,2024-01-15,22495,2023,635600,0,0,0,0,0,0,0
0,0,0,1,Sub,Frosinone,Monza,2,3,2024-01-06,22487,2023,634202,0,0,0,0,0,0,0
0,2,0.08520913869142532,82,FWL,Lecce,Frosinone,2,1,2023-12-16,22462,2023,630139,0.05096426233649254,0,1,0,0.08520913869142532,0.22829528152942657,0.09212188422679901
0,1,0.10187959671020508,75,FWL,Frosinone,Torino,0,0,2023-12-10,22448,2023,629150,0.7292081117630005,0,2,0,0.10187959671020508,1.272255539894104,0.7687696814537048
0,2,0.036477506160736084,67,AML,AC Milan,Frosinone,3,1,2023-12-02,22440,2023,626862,0.010577076114714146,0,1,0,0.036477506160736084,0.04499625787138939,0.03441918268799782
0,1,0.2623206079006195,64,AML,Frosinone,Genoa,2,1,2023-11-26,22428,2023,625494,0.06166861206293106,0,1,0,0.2623206079006195,0.32398924231529236,0
0,1,0.04486418142914772,33,Sub,Inter,Frosinone,2,0,2023-11-12,22424,2023,624380,0.12993551790714264,0,1,0,0.04486418142914772,0.04486418142914772,0
1,3,0.1548078954219818,81,AML,Frosinone,Empoli,2,1,2023-11-06,22411,2023,622664,0.16724590957164764,1,2,1,0.1548078954219818,0.33220359683036804,0.13214945793151855
