goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DR,Le Havre,Marseille,0,1,2026-05-10,29828,2025,789777,0,0,0,0,0,0.05827755481004715,0.05827755481004715
0,0,0,90,DC,Marseille,Nice,1,1,2026-04-26,29813,2025,786411,0.16406874358654022,0,2,0,0,0.7261430025100708,0.6606453061103821
0,1,0.12465663999319077,90,DC,Lorient,Marseille,2,0,2026-04-18,29802,2025,783351,0,0,0,0,0.12465663999319077,0.717215359210968,0.5925586819648743
0,1,0.08393999189138412,90,DC,Marseille,Metz,3,1,2026-04-10,29794,2025,781309,0.14254869520664215,0,2,0,0.08393999189138412,1.0357203483581543,0.9305129647254944
0,1,0.044946640729904175,90,DC,Monaco,Marseille,2,1,2026-04-05,29787,2025,780885,0,0,0,0,0.044946640729904175,0.742896556854248,0.742896556854248
0,0,0,90,DC,Marseille,Auxerre,1,0,2026-03-13,29766,2025,776409,0,0,0,0,0,0.11022692173719406,0.11022692173719406
0,0,0,90,DC,Toulouse,Marseille,0,1,2026-03-07,29762,2025,775557,0,0,0,0,0,0.14345864951610565,0.14345864951610565
0,0,0,1,Sub,Marseille,Lyon,3,2,2026-03-01,29748,2025,774305,0,0,0,0,0,0,0
0,1,0.04657013341784477,90,DC,Brest,Marseille,2,0,2026-02-20,29738,2025,771328,0,0,0,0,0.04657013341784477,0,0
0,0,0,90,DC,Marseille,Strasbourg,2,2,2026-02-14,29731,2025,770405,0,0,0,0,0,0.6948176622390747,0.6948176622390747
0,0,0,65,DC,Paris Saint Germain,Marseille,5,0,2026-02-08,29726,2025,769531,0,0,0,0,0,0,0
0,0,0,14,Sub,Marseille,Lens,3,1,2026-01-24,29704,2025,765972,0,0,0,0,0,0,0
0,0,0,90,DC,Marseille,Nantes,0,2,2026-01-04,29686,2025,761466,0.011174071580171585,0,1,0,0,0.09094060957431793,0.07976653426885605
0,0,0,60,DC,Marseille,Monaco,1,0,2025-12-14,29678,2025,758568,0,0,0,0,0,0,0
0,0,0,69,DC,Lille,Marseille,1,0,2025-12-05,29667,2025,755525,0,0,0,0,0,0.02122175134718418,0.02122175134718418
0,0,0,90,DC,Marseille,Toulouse,2,2,2025-11-29,29659,2025,754060,0.07341888546943665,0,2,0,0,0.17472992837429047,0.1636570692062378
0,2,0.23115301132202148,90,DC,Nice,Marseille,1,5,2025-11-21,29651,2025,751570,0.7278313636779785,1,1,0,0.23115301132202148,1.0446839332580566,1.0446839332580566
0,0,0,90,DC,Marseille,Brest,3,0,2025-11-08,29641,2025,750286,0,0,0,0,0,1.267699956893921,1.267699956893921
0,1,0.05678907409310341,90,DC,Auxerre,Marseille,0,1,2025-11-01,29628,2025,748813,0,0,0,0,0.05678907409310341,0,0
0,0,0,42,Sub,Marseille,Angers,2,2,2025-10-29,29620,2025,747691,0,0,0,0,0,0,0
0,1,0.03686035796999931,63,DC,Lens,Marseille,2,1,2025-10-25,29612,2025,746319,0,0,0,0,0.03686035796999931,0.21176183223724365,0.21176183223724365
0,0,0,90,DR,Marseille,Le Havre,6,2,2025-10-18,29604,2025,744620,0.49516066908836365,1,1,0,0,1.2807338237762451,1.2807338237762451
0,1,0.06273064017295837,90,DC,Metz,Marseille,0,3,2025-10-04,29597,2025,742540,0.0464753732085228,0,1,0,0.06273064017295837,1.2760624885559082,1.2295870780944824
0,0,0,3,Sub,Strasbourg,Marseille,1,2,2025-09-26,29590,2025,740274,0.3865790069103241,0,1,0,0,0.3865790069103241,0.3865790069103241
0,0,0,90,DC,Marseille,Paris Saint Germain,1,0,2025-09-22,29579,2025,739839,0.05402659624814987,0,1,0,0,0.05402659624814987,0
1,2,0.3420172929763794,84,DC,Marseille,Lorient,4,0,2025-09-12,29568,2025,736431,0,0,0,1,0.3420172929763794,1.0612257719039917,1.043511986732483
0,1,0.04614909365773201,90,DC,Inter,Torino,5,0,2025-08-25,29853,2025,734483,0.02675178088247776,0,1,0,0.04614909365773201,0.6803727149963379,0.6803727149963379
0,0,0,14,DC,Inter,Roma,0,1,2025-04-27,27697,2024,723053,0,0,0,0,0,0,0
0,0,0,90,DC,Bologna,Inter,1,0,2025-04-20,27682,2024,721357,0,0,0,0,0,0,0
0,1,0.01223931647837162,90,DC,Inter,Udinese,2,1,2025-03-30,27655,2024,715592,0,0,0,0,0.01223931647837162,0.27414169907569885,0.27414169907569885
0,0,0,90,DC,Atalanta,Inter,0,2,2025-03-16,27643,2024,714319,0,0,0,0,0,0.4497617781162262,0.4497617781162262
0,0,0,49,DC,Inter,Monza,3,2,2025-03-08,27636,2024,711663,0.05112306401133537,0,1,0,0,0.7804757952690125,0.7804757952690125
0,0,0,35,Sub,Napoli,Inter,1,1,2025-03-01,27629,2024,709914,0,0,0,0,0,0,0
0,2,0.1414247751235962,90,DC,Inter,Genoa,1,0,2025-02-22,27614,2024,708164,0.13473258912563324,0,1,0,0.1414247751235962,0.19028723239898682,0.17298421263694763
0,0,0,90,DC,Juventus,Inter,1,0,2025-02-16,27610,2024,707184,0,0,0,0,0,0.3330640494823456,0.3330640494823456
0,1,0.056433845311403275,90,DC,Inter,Fiorentina,2,1,2025-02-10,27596,2024,705685,0,0,0,0,0.056433845311403275,0.8446467518806458,0.8446467518806458
0,0,0,65,DC,AC Milan,Inter,1,1,2025-02-02,27588,2024,704267,0,0,0,0,0,0.35723668336868286,0.35723668336868286
0,0,0,87,DC,Inter,Empoli,3,1,2025-01-19,27567,2024,700880,0,0,0,0,0,0.04658743366599083,0.04658743366599083
