goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,14,Sub,Empoli,Verona,1,2,2025-05-25,27736,2024,730354,0,0,0,0,0,0,0
0,0,0,3,Sub,Empoli,Parma Calcio 1913,2,1,2025-05-10,27714,2024,726065,0.0784820020198822,0,1,0,0,0.0784820020198822,0
0,1,0.027559489011764526,62,AMC,Empoli,Lazio,0,1,2025-05-04,27704,2024,724485,0,0,0,0,0.027559489011764526,0.06592109054327011,0.06592109054327011
0,0,0,47,AMC,Fiorentina,Empoli,2,1,2025-04-27,27695,2024,723013,0,0,0,0,0,0,0
0,0,0,11,Sub,Empoli,Venezia,2,2,2025-04-20,27684,2024,721079,0.019143667072057724,0,1,0,0,0.019143667072057724,0
0,0,0,5,Sub,Empoli,Cagliari,0,0,2025-04-06,27666,2024,717400,0,0,0,0,0,0,0
0,0,0,19,Sub,Como,Empoli,1,1,2025-03-29,27652,2024,714678,0,0,0,0,0,0,0
0,0,0,3,Sub,Verona,Empoli,1,4,2024-12-08,27506,2024,692833,0.0912257507443428,0,1,0,0,0.1106797531247139,0.019454000517725945
0,0,0,42,Sub,AC Milan,Empoli,3,0,2024-11-30,27498,2024,690266,0,0,0,0,0,0.08266544342041016,0.08266544342041016
0,0,0,23,Sub,Empoli,Udinese,1,1,2024-11-25,27483,2024,689500,0.06761011481285095,0,1,0,0,0.06761011481285095,0
0,0,0,20,Sub,Lecce,Empoli,1,1,2024-11-08,27474,2024,686259,0.09685558825731277,0,1,0,0,0.09685558825731277,0
0,0,0,65,AMC,Empoli,Como,1,0,2024-11-04,27462,2024,686051,0,0,0,0,0,0,0
0,1,0.035508207976818085,49,AMC,Empoli,Inter,0,3,2024-10-30,27455,2024,684292,0.03110877238214016,0,1,0,0.035508207976818085,0.1610907018184662,0.1255825012922287
0,0,0,88,FW,Parma Calcio 1913,Empoli,1,1,2024-10-27,27449,2024,683442,0,0,0,0,0,0.01918772980570793,0.01918772980570793
0,0,0,18,Sub,Empoli,Napoli,0,1,2024-10-20,27435,2024,681790,0,0,0,0,0,0,0
0,0,0,87,FW,Lazio,Empoli,2,1,2024-10-06,27423,2024,680225,0.11005963385105133,0,1,0,0,0.11005963385105133,0
0,0,0,32,Sub,Empoli,Fiorentina,0,0,2024-09-29,27415,2024,678749,0,0,0,0,0,0,0
0,0,0,16,Sub,Cagliari,Empoli,0,2,2024-09-20,27403,2024,675115,0,0,0,0,0,0.08852691948413849,0.08852691948413849
0,1,0.6380065083503723,72,AMC,Bologna,Empoli,1,1,2024-08-31,27385,2024,672057,0,0,0,0,0.6380065083503723,0.6380065083503723,0
0,0,0,59,AMC,Roma,Empoli,1,2,2024-08-25,27379,2024,669219,0.08047477155923843,0,2,0,0,0.14362742006778717,0.06315264105796814
0,1,0.08928151428699493,15,Sub,Empoli,Monza,0,0,2024-08-17,27364,2024,666650,0,0,0,0,0.08928151428699493,0.08928151428699493,0
0,0,0,16,Sub,Verona,Roma,2,1,2023-08-26,22318,2023,607346,0,0,0,0,0,0,0
0,1,0.3476560115814209,74,MR,Fiorentina,Roma,2,1,2023-05-27,18943,2022,600286,0.7481119632720947,1,4,0,0.3476560115814209,1.016075849533081,0
0,1,0.03240586072206497,53,AMC,Roma,Salernitana,2,2,2023-05-22,18938,2022,599314,0,0,0,0,0.03240586072206497,0.057346563786268234,0.02494070492684841
0,0,0,71,FW,Bologna,Roma,0,0,2023-05-14,18922,2022,597338,0.38035866618156433,0,1,0,0,0.38035866618156433,0
0,2,0.10877647250890732,62,AMC,Monza,Roma,1,1,2023-05-03,18908,2022,594114,0.08267831057310104,0,1,0,0.10877647250890732,0.19145478308200836,0
0,0,0,1,Sub,Roma,AC Milan,1,1,2023-04-29,18898,2022,592522,0,0,0,0,0,0,0
0,0,0,67,AMC,Atalanta,Roma,3,1,2023-04-24,18882,2022,591341,0.0792073979973793,0,3,0,0,0.05906414985656738,0.0189684946089983
0,1,0.06973409652709961,75,FW,Torino,Roma,0,1,2023-04-08,18870,2022,587046,0.026787500828504562,0,1,0,0.06973409652709961,0.09414809942245483,0.024414099752902985
0,0,0,8,Sub,Roma,Sampdoria,3,0,2023-04-02,18860,2022,585677,0.08310999721288681,1,1,0,0,0.08310999721288681,0
0,0,0,3,Sub,Lazio,Roma,1,0,2023-03-19,18845,2022,584056,0,0,0,0,0,0,0
0,0,0,24,Sub,Cremonese,Roma,2,1,2023-02-28,18817,2022,578900,0,0,0,0,0,0.02204030007123947,0.02204030007123947
1,4,0.49768000841140747,76,AMC,Roma,Verona,1,0,2023-02-19,18806,2022,577345,0,0,0,1,0.49768000841140747,0.48315298557281494,0.05290380120277405
0,0,0,1,Sub,Lecce,Roma,1,1,2023-02-11,18798,2022,575023,0,0,0,0,0,0.015131000429391861,0.015131000429391861
0,0,0,1,Sub,Spezia,Roma,0,2,2023-01-22,18771,2022,570777,0,0,0,0,0,0,0
0,0,0,1,Sub,Roma,Fiorentina,2,0,2023-01-15,18758,2022,569672,0,0,0,0,0,0,0
