goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,7,Sub,Fiorentina,Genoa,0,0,2026-05-10,30197,2025,789353,0,0,0,0,0,0,0
0,0,0,3,Sub,Atalanta,Genoa,0,0,2026-05-02,30184,2025,787429,0,0,0,0,0,0,0
0,1,0.06806565821170807,90,MC,Pisa,Genoa,1,2,2026-04-19,30168,2025,784067,0.04495628550648689,0,1,0,0.06806565821170807,0.2677972912788391,0.2228410243988037
0,0,0,34,Sub,Genoa,Sassuolo,2,1,2026-04-12,30159,2025,782066,0,0,0,0,0,0,0
0,2,0.33418962359428406,24,Sub,Juventus,Genoa,2,0,2026-04-06,30146,2025,781051,0,0,0,0,0.33418962359428406,0.33418962359428406,0
0,1,0.019834158942103386,90,MC,Genoa,Roma,2,1,2026-03-08,30118,2025,776044,0.8088136315345764,1,1,0,0.019834158942103386,0.9236495494842529,0.11483591794967651
0,0,0,14,Sub,Genoa,Napoli,2,3,2026-02-07,30080,2025,768787,0,0,0,0,0,0,0
0,0,0,2,Sub,Lazio,Genoa,3,2,2026-01-30,30068,2025,766821,0,0,0,0,0,0,0
0,0,0,12,Sub,Parma Calcio 1913,Genoa,0,0,2026-01-18,30048,2025,764639,0.07023034989833832,0,1,0,0,0.07023034989833832,0.07023034989833832
0,0,0,43,Sub,Genoa,Cagliari,3,0,2026-01-12,30037,2025,763296,0,0,0,0,0,0,0
0,0,0,25,Sub,AC Milan,Genoa,1,1,2026-01-08,30028,2025,762562,0,0,0,0,0,0.08334434032440186,0.08334434032440186
0,0,0,10,Sub,Roma,Genoa,3,1,2025-12-29,30010,2025,760495,0,0,0,0,0,0.05820667743682861,0.05820667743682861
0,0,0,5,Sub,Genoa,Atalanta,0,1,2025-12-21,29997,2025,759777,0,0,0,0,0,0,0
0,2,0.09316668659448624,90,MC,Udinese,Genoa,1,2,2025-12-08,29982,2025,757139,0.06874135136604309,0,1,0,0.09316668659448624,0.03654128685593605,0.03654128685593605
0,1,0.07089681923389435,16,Sub,Genoa,Verona,2,1,2025-11-29,29967,2025,753515,0.04151548817753792,0,1,0,0.07089681923389435,0.07089681923389435,0
0,0,0,1,Sub,Cagliari,Genoa,3,3,2025-11-22,29955,2025,751800,0,0,0,0,0,0,0
0,1,0.08094877749681473,12,Sub,Genoa,Fiorentina,2,2,2025-11-09,29947,2025,750824,0,0,0,0,0.08094877749681473,0.08094877749681473,0
0,0,0,28,Sub,Sassuolo,Genoa,1,2,2025-11-03,29940,2025,751490,0,0,0,0,0,0,0
0,2,0.028192078694701195,90,DMC,Genoa,Cremonese,0,2,2025-10-29,29928,2025,747653,0.08024941384792328,0,1,0,0.028192078694701195,0.19493918120861053,0.08649769425392151
0,0,0,90,MC,Torino,Genoa,2,1,2025-10-26,29923,2025,746388,0,0,0,0,0,0.21974335610866547,0.21974335610866547
0,2,0.13226573169231415,90,DMC,Genoa,Parma Calcio 1913,0,0,2025-10-19,29909,2025,744782,0.10816571116447449,0,2,0,0.13226573169231415,0.6402431726455688,0.5229623913764954
0,0,0,90,DMC,Napoli,Genoa,2,1,2025-10-05,29900,2025,743470,0,0,0,0,0,0.03166752681136131,0.03166752681136131
0,1,0.012268232181668282,69,DMC,Genoa,Lazio,0,3,2025-09-29,29886,2025,741849,0,0,0,0,0.012268232181668282,0.031110649928450584,0.018842417746782303
0,0,0,90,DMC,Bologna,Genoa,2,1,2025-09-20,29877,2025,738390,0,0,0,0,0,0.23765796422958374,0.23765796422958374
0,2,0.6938390135765076,90,DMC,Como,Genoa,1,1,2025-09-15,29873,2025,738110,0,0,0,0,0.6938390135765076,0.6938390135765076,0
0,1,0.01731441542506218,90,DMC,Genoa,Juventus,0,1,2025-08-31,29860,2025,736000,0.015370403416454792,0,1,0,0.01731441542506218,0.14492934942245483,0.12955893576145172
