goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,4,Sub,Atalanta,Genoa,0,0,2026-05-02,30184,2025,787415,0,0,0,0,0,0.09706943482160568,0.09706943482160568
0,0,0,13,Sub,Atalanta,Verona,1,0,2026-03-22,30134,2025,779217,0,0,0,0,0,0,0
0,1,0.016463585197925568,47,MC,Atalanta,Udinese,2,2,2026-03-07,30115,2025,775356,0,0,0,0,0.016463585197925568,0.11671049892902374,0.11671049892902374
1,2,0.4290379583835602,21,Sub,Sassuolo,Atalanta,2,1,2026-03-01,30112,2025,773923,0,0,0,1,0.4290379583835602,0.4692171812057495,0.06145906075835228
0,0,0,11,Sub,Atalanta,Cremonese,2,1,2026-02-09,30077,2025,769618,0,0,0,0,0,0.4389834702014923,0.4389834702014923
0,0,0,57,DMR,Pisa,Atalanta,1,1,2026-01-16,30049,2025,763896,0.08985461294651031,0,1,0,0,0.10957419872283936,0.01971958950161934
0,0,0,21,Sub,Atalanta,Torino,2,0,2026-01-10,30034,2025,762983,0,0,0,0,0,0.21604527533054352,0.21604527533054352
0,0,0,21,Sub,Bologna,Atalanta,0,2,2026-01-07,30024,2025,762140,0,0,0,0,0,0,0
0,0,0,22,Sub,Atalanta,Roma,1,0,2026-01-03,30014,2025,761300,0,0,0,0,0,0.08481312543153763,0.08481312543153763
0,0,0,43,Sub,Atalanta,Inter,0,1,2025-12-28,30013,2025,760448,0,0,0,0,0,1.0516815185546875,1.0516815185546875
0,1,0.04573472961783409,90,MC,Genoa,Atalanta,0,1,2025-12-21,29997,2025,759786,0,0,0,0,0.04573472961783409,0.20422619581222534,0.15849146246910095
0,1,0.05401098355650902,22,Sub,Atalanta,Cagliari,2,1,2025-12-13,29984,2025,757909,0,0,0,0,0.05401098355650902,0.05401098355650902,0
0,1,0.14331284165382385,6,Sub,Atalanta,AC Milan,1,1,2025-10-28,29924,2025,747354,0,0,0,0,0.14331284165382385,0.14331284165382385,0
0,0,0,15,Sub,Atalanta,Como,1,1,2025-10-04,29894,2025,742752,0,0,0,0,0,0,0
0,0,0,11,Sub,Juventus,Atalanta,1,1,2025-09-27,29887,2025,740839,0,0,0,0,0,0,0
0,0,0,1,Sub,Torino,Atalanta,0,3,2025-09-21,29874,2025,739372,0,0,0,0,0,0,0
0,0,0,13,Sub,Atalanta,Lecce,4,1,2025-09-14,29869,2025,737508,0,0,0,0,0,0.06341039389371872,0.06341039389371872
0,0,0,90,DMR,Lecce,AC Milan,0,2,2025-08-29,29855,2025,734751,0.6259872317314148,0,2,0,0,0.7202304601669312,0.09424325823783875
0,1,0.015054172836244106,46,AMR,AC Milan,Monza,2,0,2025-05-24,27738,2024,729788,0,0,0,0,0.015054172836244106,0.04020705819129944,0.04020705819129944
0,0,0,90,DMR,Roma,AC Milan,3,1,2025-05-18,27730,2024,729048,0.30080902576446533,0,1,0,0,0.7686787247657776,0.7686787247657776
0,0,0,9,Sub,AC Milan,Bologna,3,1,2025-05-09,27717,2024,725438,0,0,0,0,0,0.07553663104772568,0.07553663104772568
0,0,0,9,Sub,Genoa,AC Milan,1,2,2025-05-05,27705,2024,725302,0,0,0,0,0,0,0
0,0,0,23,DMC,AC Milan,Fiorentina,2,2,2025-04-05,27669,2024,717204,0,0,0,0,0,0,0
0,1,0.5071184039115906,53,DMC,AC Milan,Como,2,1,2025-03-15,27647,2024,713168,0,0,0,0,0.5071184039115906,0.608036994934082,0.608036994934082
0,2,0.5884110927581787,80,DMC,Lecce,AC Milan,2,3,2025-03-08,27639,2024,711531,0.12391559779644012,0,1,0,0.5884110927581787,1.288438081741333,1.2422341108322144
0,0,0,36,DMC,AC Milan,Lazio,1,2,2025-03-02,27627,2024,710633,0,0,0,0,0,0.18048113584518433,0.18048113584518433
0,2,0.5383473634719849,90,AMR,Bologna,AC Milan,2,1,2025-02-27,27442,2024,709291,0.06977804750204086,0,1,0,0.5383473634719849,0.6081253886222839,0
0,0,0,55,DMC,Torino,AC Milan,2,1,2025-02-22,27618,2024,707997,0.008465176448225975,0,1,0,0,0.19224794209003448,0.19224794209003448
0,4,0.5120112299919128,90,AMR,AC Milan,Verona,1,0,2025-02-15,27608,2024,706521,0,0,0,0,0.5120112299919128,0.7057176828384399,0.1937064230442047
0,1,0.046996161341667175,90,AMR,Empoli,AC Milan,0,2,2025-02-08,27594,2024,705549,0,0,0,0,0.046996161341667175,0.7874460816383362,0.7404499650001526
0,0,0,80,MC,AC Milan,Inter,1,1,2025-02-02,27588,2024,704257,0.037403132766485214,0,1,0,0,0.22398889064788818,0.18658575415611267
0,0,0,90,MC,AC Milan,Parma Calcio 1913,3,2,2025-01-26,27576,2024,701868,0.43969789147377014,1,3,0,0,0.98809814453125,0.9407998919487
0,1,0.0432998426258564,90,FWR,Juventus,AC Milan,2,0,2025-01-18,27568,2024,700167,0.26219725608825684,0,4,0,0.0432998426258564,0.31851574778556824,0.10303598642349243
0,0,0,43,Sub,Como,AC Milan,1,2,2025-01-14,27543,2024,698960,0,0,0,0,0,0.32360509037971497,0.32360509037971497
0,0,0,62,MC,AC Milan,Cagliari,1,1,2025-01-11,27560,2024,698418,0.04521409049630165,0,1,0,0,0.5284619331359863,0.5284619331359863
0,1,0.14564020931720734,90,AMR,Atalanta,AC Milan,2,1,2024-12-06,27502,2024,691780,0.08683016896247864,0,1,0,0.14564020931720734,0.32745590806007385,0.09498552978038788
0,0,0,77,AMR,AC Milan,Empoli,3,0,2024-11-30,27498,2024,690243,0,0,0,0,0,0.08695323020219803,0.08695323020219803
0,0,0,85,FWR,AC Milan,Juventus,0,0,2024-11-23,27490,2024,688704,0,0,0,0,0,0,0
0,0,0,2,Sub,Cagliari,AC Milan,3,3,2024-11-09,27478,2024,686844,0.08209073543548584,0,1,0,0,0.08209073543548584,0
0,0,0,1,Sub,Monza,AC Milan,0,1,2024-11-02,27465,2024,685383,0.06500229984521866,0,1,0,0,0.06500229984521866,0
0,2,0.05731003358960152,90,MC,AC Milan,Napoli,0,2,2024-10-29,27459,2024,684259,0.07727668434381485,0,2,0,0.05731003358960152,0.28009146451950073,0.20721296966075897
0,0,0,40,Sub,AC Milan,Udinese,1,0,2024-10-19,27440,2024,681543,0,0,0,0,0,0,0
0,0,0,25,Sub,AC Milan,Lecce,3,0,2024-09-27,27417,2024,677321,0,0,0,0,0,0.2290419191122055,0.2290419191122055
0,0,0,14,Sub,AC Milan,Venezia,4,0,2024-09-14,27398,2024,674067,0,0,0,0,0,0.09477823227643967,0.09477823227643967
0,1,0.014714553952217102,18,Sub,Lazio,AC Milan,2,2,2024-08-31,27387,2024,672302,0.06611938029527664,0,1,0,0.014714553952217102,0.33853644132614136,0.33853644132614136
0,1,0.02437444217503071,70,DMC,Parma Calcio 1913,AC Milan,2,1,2024-08-24,27372,2024,668250,0.04855068400502205,0,2,0,0.02437444217503071,0.09417128562927246,0.04562060162425041
0,5,0.10777502506971359,13,Sub,AC Milan,Torino,2,2,2024-08-17,27365,2024,666682,0.3282005190849304,1,2,0,0.10777502506971359,0.3737921416759491,0.3283800780773163
