goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Cagliari,Roma,1,0,2025-12-07,29974,2025,756668,0,0,0,0,0,0,0
0,1,0.10006377100944519,42,Sub,Udinese,Cagliari,1,1,2025-10-05,29902,2025,742886,0,0,0,0,0.10006377100944519,0.10006377100944519,0
0,0,0,7,Sub,Napoli,Cagliari,1,0,2025-08-30,29859,2025,735526,0,0,0,0,0,0,0
0,0,0,1,Sub,Cagliari,Fiorentina,2,3,2024-05-24,22676,2023,664154,0,0,0,0,0,0,0
0,0,0,1,Sub,Sassuolo,Cagliari,0,2,2024-05-19,22669,2023,663325,0,0,0,0,0,0,0
0,0,0,47,DMR,Genoa,Cagliari,3,0,2024-04-29,22637,2023,658329,0.11425874382257462,0,1,0,0,0.11425874382257462,0.11425874382257462
0,0,0,79,DR,Inter,Cagliari,2,2,2024-04-14,22616,2023,654161,0.019658245146274567,0,1,0,0,0.32954543828964233,0.30988720059394836
0,1,0.01917007565498352,11,Sub,Udinese,Cagliari,1,1,2024-02-18,22545,2023,642282,0.024348566308617592,0,1,0,0.01917007565498352,0.024348566308617592,0
0,0,0,13,Sub,Roma,Cagliari,4,0,2024-02-05,22533,2023,641169,0.018748022615909576,0,1,0,0,0.04648208990693092,0.04648208990693092
0,0,0,10,Sub,Frosinone,Cagliari,3,1,2024-01-21,22508,2023,636121,0,0,0,0,0,0,0
0,0,0,6,Sub,Cagliari,Bologna,2,1,2024-01-14,22502,2023,635286,0,0,0,0,0,0,0
0,0,0,3,Sub,Lecce,Cagliari,1,1,2024-01-06,22489,2023,634248,0,0,0,0,0,0,0
0,0,0,12,Sub,Fiorentina,Cagliari,3,0,2023-10-02,22368,2023,615802,0,0,0,0,0,0,0
0,0,0,6,Sub,Cagliari,AC Milan,1,3,2023-09-27,22355,2023,613554,0,0,0,0,0,0.033636901527643204,0.033636901527643204
0,0,0,4,Sub,Cagliari,Udinese,0,0,2023-09-17,22338,2023,610843,0,0,0,0,0,0.01671152375638485,0.01671152375638485
0,1,0.02314753644168377,42,Sub,Bologna,Cagliari,2,1,2023-09-02,22328,2023,608958,0.018450725823640823,0,1,0,0.02314753644168377,0.018450725823640823,0
0,1,0.06878159940242767,41,Sub,Cagliari,Inter,0,2,2023-08-28,22324,2023,608104,0,0,0,0,0.06878159940242767,0.06878159940242767,0
0,0,0,42,Sub,Torino,Cagliari,0,0,2023-08-21,22313,2023,606303,0,0,0,0,0,0,0
0,0,0,1,Sub,Juventus,Lazio,3,1,2021-03-06,15681,2020,454851,0,0,0,0,0,0,0
0,0,0,2,Sub,Juventus,Spezia,3,0,2021-03-02,15670,2020,453510,0,0,0,0,0,0,0
0,0,0,3,Sub,Verona,Juventus,1,1,2021-02-27,15661,2020,452553,0.021143199875950813,0,1,0,0,0.021143199875950813,0
0,0,0,1,Sub,Juventus,Crotone,3,0,2021-02-22,15647,2020,451670,0,0,0,0,0,0,0
