goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,30,Sub,Cremonese,Pisa,3,0,2026-05-10,30196,2025,789306,0.0369211807847023,1,1,0,0,0.03734460100531578,0.03734460100531578
0,1,0.08638681471347809,64,ML,Cremonese,Lazio,1,2,2026-05-04,30187,2025,788311,0,0,0,0,0.08638681471347809,0.08638681471347809,0
0,1,0.013500071130692959,41,Sub,Napoli,Cremonese,4,0,2026-04-24,30180,2025,785036,0.06318032741546631,0,1,0,0.013500071130692959,0.06318032741546631,0
0,0,0,29,Sub,Cremonese,Torino,0,0,2026-04-19,30173,2025,783628,0.04597511142492294,0,2,0,0,0.02617870271205902,0
0,0,0,9,Sub,Cagliari,Cremonese,1,0,2026-04-11,30156,2025,781459,0,0,0,0,0,0,0
0,1,0.01142889354377985,86,MC,Cremonese,Bologna,1,2,2026-04-05,30144,2025,780541,0,0,0,0,0.01142889354377985,0.01142889354377985,0
0,0,0,46,MR,Parma Calcio 1913,Cremonese,0,2,2026-03-21,30142,2025,778351,0,0,0,0,0,0,0
0,1,0.017428863793611526,20,Sub,Cremonese,Fiorentina,1,4,2026-03-16,30125,2025,777941,0,0,0,0,0.017428863793611526,0.01364705990999937,0.01364705990999937
0,0,0,41,Sub,Lecce,Cremonese,2,1,2026-03-08,30121,2025,775659,0,0,0,0,0,0.33772292733192444,0.33772292733192444
0,0,0,67,DMR,Cremonese,AC Milan,0,2,2026-03-01,30104,2025,773740,0.18229281902313232,0,2,0,0,0.29559043049812317,0.17996883392333984
0,0,0,77,DMR,Roma,Cremonese,3,0,2026-02-22,30102,2025,772593,0,0,0,0,0,0,0
0,1,0.06562817841768265,89,DMR,Cremonese,Genoa,0,0,2026-02-15,30086,2025,770721,0.163008913397789,0,2,0,0.06562817841768265,0.17871633172035217,0
0,0,0,5,Sub,Atalanta,Cremonese,2,1,2026-02-09,30077,2025,769634,0.05473309010267258,0,1,0,0,0.06486564129590988,0.06486564129590988
0,4,0.2266531139612198,90,MC,Cremonese,Inter,0,2,2026-02-01,30067,2025,767972,0,0,0,0,0.2266531139612198,0.20452463626861572,0.03266840800642967
0,1,0.017579279839992523,68,Sub,Sassuolo,Cremonese,1,0,2026-01-25,30062,2025,766019,0.024017786607146263,0,1,0,0.017579279839992523,0.07552894949913025,0.033931881189346313
