id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
639777,40,SavedShot,0.7519999694824219,0.41700000762939454,0.02556251361966133,Giovane,a,13961,OpenPlay,2025,LeftFoot,29852,Udinese,Verona,1,1,2025-08-25 16:30:00,Fallou Cham,TakeOn
639781,49,SavedShot,0.7630000305175781,0.605,0.01557937916368246,Giovane,a,13961,OpenPlay,2025,LeftFoot,29852,Udinese,Verona,1,1,2025-08-25 16:30:00,,TakeOn
639782,51,ShotOnPost,0.8190000152587891,0.28,0.0319458432495594,Giovane,a,13961,OpenPlay,2025,LeftFoot,29852,Udinese,Verona,1,1,2025-08-25 16:30:00,Antoine Bernede,HeadPass
639788,72,MissedShots,0.9209999847412109,0.6129999923706054,0.02693791128695011,Giovane,a,13961,FromCorner,2025,Head,29852,Udinese,Verona,1,1,2025-08-25 16:30:00,Martin Frese,Cross
641198,29,SavedShot,0.8680000305175781,0.5520000076293945,0.09677380323410034,Giovane,a,13961,OpenPlay,2025,LeftFoot,29863,Lazio,Verona,4,0,2025-08-31 18:45:00,Amin Sarr,Pass
641207,57,SavedShot,0.795,0.3290000152587891,0.023893268778920174,Giovane,a,13961,OpenPlay,2025,LeftFoot,29863,Lazio,Verona,4,0,2025-08-31 18:45:00,Unai Núñez,Pass
642638,15,SavedShot,0.950999984741211,0.3110000038146973,0.1736246645450592,Giovane,h,13961,OpenPlay,2025,RightFoot,29872,Verona,Cremonese,0,0,2025-09-15 16:30:00,Suat Serdar,Pass
642639,20,MissedShots,0.8680000305175781,0.25299999237060544,0.025174226611852646,Giovane,h,13961,OpenPlay,2025,LeftFoot,29872,Verona,Cremonese,0,0,2025-09-15 16:30:00,Suat Serdar,Pass
642642,29,SavedShot,0.695,0.40099998474121096,0.009752505458891392,Giovane,h,13961,OpenPlay,2025,LeftFoot,29872,Verona,Cremonese,0,0,2025-09-15 16:30:00,Gift Orban,LayOff
642643,30,MissedShots,0.8959999847412109,0.6090000152587891,0.018701348453760147,Giovane,h,13961,FromCorner,2025,Head,29872,Verona,Cremonese,0,0,2025-09-15 16:30:00,Martin Frese,Cross
642648,48,SavedShot,0.8219999694824218,0.2510000038146973,0.045375823974609375,Giovane,h,13961,OpenPlay,2025,LeftFoot,29872,Verona,Cremonese,0,0,2025-09-15 16:30:00,Rafik Belghali,Pass
642649,54,MissedShots,0.8519999694824218,0.6730000305175782,0.045469798147678375,Giovane,h,13961,OpenPlay,2025,LeftFoot,29872,Verona,Cremonese,0,0,2025-09-15 16:30:00,Domagoj Bradaric,Chipped
642652,60,SavedShot,0.9180000305175782,0.66,0.3073866665363312,Giovane,h,13961,OpenPlay,2025,LeftFoot,29872,Verona,Cremonese,0,0,2025-09-15 16:30:00,Suat Serdar,Pass
642655,64,BlockedShot,0.9030000305175782,0.30700000762939456,0.05711686611175537,Giovane,h,13961,OpenPlay,2025,LeftFoot,29872,Verona,Cremonese,0,0,2025-09-15 16:30:00,,TakeOn
645247,47,MissedShots,0.8430000305175781,0.39299999237060546,0.05158171057701111,Giovane,a,13961,OpenPlay,2025,LeftFoot,29892,Roma,Verona,2,0,2025-09-28 13:00:00,,BallTouch
645814,5,SavedShot,0.745999984741211,0.3320000076293945,0.01594269834458828,Giovane,h,13961,OpenPlay,2025,LeftFoot,29903,Verona,Sassuolo,0,1,2025-10-03 18:45:00,Rafik Belghali,Pass
645819,18,BlockedShot,0.870999984741211,0.5709999847412109,0.08929896354675293,Giovane,h,13961,OpenPlay,2025,RightFoot,29903,Verona,Sassuolo,0,1,2025-10-03 18:45:00,Gift Orban,Pass
645826,41,SavedShot,0.8730000305175781,0.67,0.05539831146597862,Giovane,h,13961,OpenPlay,2025,LeftFoot,29903,Verona,Sassuolo,0,1,2025-10-03 18:45:00,Antoine Bernede,Pass
645827,42,SavedShot,0.9,0.6320000076293946,0.07946857810020447,Giovane,h,13961,OpenPlay,2025,LeftFoot,29903,Verona,Sassuolo,0,1,2025-10-03 18:45:00,Gift Orban,BallTouch
645831,57,SavedShot,0.7380000305175781,0.30100000381469727,0.01257326640188694,Giovane,h,13961,OpenPlay,2025,LeftFoot,29903,Verona,Sassuolo,0,1,2025-10-03 18:45:00,Rafik Belghali,Pass
647358,11,BlockedShot,0.775,0.40900001525878904,0.11321157962083817,Giovane,a,13961,OpenPlay,2025,LeftFoot,29912,Pisa,Verona,0,0,2025-10-18 13:00:00,Suat Serdar,TakeOn
647359,20,BlockedShot,0.874000015258789,0.5779999923706055,0.10479556024074554,Giovane,a,13961,OpenPlay,2025,LeftFoot,29912,Pisa,Verona,0,0,2025-10-18 13:00:00,Martin Frese,Cross
649420,33,BlockedShot,0.7809999847412109,0.38,0.043742723762989044,Giovane,h,13961,OpenPlay,2025,LeftFoot,29915,Verona,Cagliari,2,2,2025-10-26 13:00:00,Jean-Daniel Akpa-Akpro,LayOff
649424,45,MissedShots,0.6840000152587891,0.5309999847412109,0.014389749616384506,Giovane,h,13961,OpenPlay,2025,LeftFoot,29915,Verona,Cagliari,2,2,2025-10-26 13:00:00,Jean-Daniel Akpa-Akpro,Tackle
649426,54,SavedShot,0.9540000152587891,0.4470000076293945,0.511042058467865,Giovane,h,13961,OpenPlay,2025,LeftFoot,29915,Verona,Cagliari,2,2,2025-10-26 13:00:00,Nicolás Valentini,Cross
650105,7,SavedShot,0.7619999694824219,0.675,0.04141860455274582,Giovane,a,13961,OpenPlay,2025,LeftFoot,29927,Como,Verona,3,1,2025-10-29 16:30:00,Gift Orban,Pass
651252,28,BlockedShot,0.7369999694824219,0.33599998474121096,0.01485264953225851,Giovane,h,13961,OpenPlay,2025,LeftFoot,29943,Verona,Inter,1,2,2025-11-02 11:30:00,Gift Orban,Pass
651256,39,Goal,0.8780000305175781,0.31799999237060544,0.08272916078567505,Giovane,h,13961,OpenPlay,2025,RightFoot,29943,Verona,Inter,1,2,2025-11-02 11:30:00,Gift Orban,Pass
654055,0,BlockedShot,0.8019999694824219,0.33,0.029222944751381874,Giovane,h,13961,OpenPlay,2025,LeftFoot,29954,Verona,Parma Calcio 1913,1,2,2025-11-23 11:30:00,Jean-Daniel Akpa-Akpro,Pass
654069,57,SavedShot,0.725,0.33,0.014482730068266392,Giovane,h,13961,OpenPlay,2025,LeftFoot,29954,Verona,Parma Calcio 1913,1,2,2025-11-23 11:30:00,Al Musrati,Pass
654074,64,Goal,0.925,0.49,0.5261804461479187,Giovane,h,13961,OpenPlay,2025,LeftFoot,29954,Verona,Parma Calcio 1913,1,2,2025-11-23 11:30:00,Daniel Mosquera,Pass
654916,15,MissedShots,0.7730000305175782,0.3729999923706055,0.069581538438797,Giovane,a,13961,DirectFreekick,2025,LeftFoot,29967,Genoa,Verona,2,1,2025-11-29 14:00:00,,Standard
654940,88,SavedShot,0.914000015258789,0.4329999923706055,0.06316102296113968,Giovane,a,13961,OpenPlay,2025,Head,29967,Genoa,Verona,2,1,2025-11-29 14:00:00,Nicolás Valentini,Cross
657194,23,SavedShot,0.7909999847412109,0.25,0.01355289388448,Giovane,h,13961,OpenPlay,2025,LeftFoot,29983,Verona,Atalanta,3,1,2025-12-06 19:45:00,,None
657198,35,Goal,0.8190000152587891,0.5359999847412109,0.06870454549789429,Giovane,h,13961,OpenPlay,2025,LeftFoot,29983,Verona,Atalanta,3,1,2025-12-06 19:45:00,,None
661564,6,SavedShot,0.730999984741211,0.5259999847412109,0.01991366222500801,Giovane,h,13961,OpenPlay,2025,LeftFoot,30023,Verona,Torino,0,3,2026-01-04 17:00:00,Al Musrati,Pass
661574,47,SavedShot,0.759000015258789,0.5559999847412109,0.01136233750730753,Giovane,h,13961,OpenPlay,2025,LeftFoot,30023,Verona,Torino,0,3,2026-01-04 17:00:00,,Aerial
661580,71,BlockedShot,0.915,0.24399999618530274,0.028727281838655472,Giovane,h,13961,SetPiece,2025,LeftFoot,30023,Verona,Torino,0,3,2026-01-04 17:00:00,Abdou Harroui,Pass
661881,92,MissedShots,0.8119999694824219,0.3089999961853027,0.21612313389778137,Giovane,a,13961,OpenPlay,2025,LeftFoot,30029,Napoli,Verona,2,2,2026-01-07 17:30:00,Antoine Bernede,Pass
661882,94,MissedShots,0.47900001525878905,0.47200000762939454,0.010206306353211403,Giovane,a,13961,OpenPlay,2025,LeftFoot,30029,Napoli,Verona,2,2,2026-01-07 17:30:00,Suat Serdar,BallRecovery
662781,10,BlockedShot,0.8919999694824219,0.654000015258789,0.14484074711799622,Giovane,h,13961,OpenPlay,2025,LeftFoot,30043,Verona,Lazio,0,1,2026-01-11 17:00:00,Gift Orban,Throughball
663170,66,SavedShot,0.8680000305175781,0.4909999847412109,0.0743512511253357,Giovane,h,13961,OpenPlay,2025,LeftFoot,30003,Verona,Bologna,2,3,2026-01-15 17:30:00,,Rebound
663169,66,BlockedShot,0.8430000305175781,0.4909999847412109,0.09238426387310028,Giovane,h,13961,OpenPlay,2025,LeftFoot,30003,Verona,Bologna,2,3,2026-01-15 17:30:00,Roberto Gagliardini,Pass
664370,37,SavedShot,0.88,0.725999984741211,0.0472072958946228,Giovane,a,13961,OpenPlay,2025,LeftFoot,30044,Cremonese,Verona,0,0,2026-01-19 17:30:00,Amin Sarr,HeadPass
664376,63,SavedShot,0.9780000305175781,0.6730000305175782,0.04934310540556908,Giovane,a,13961,OpenPlay,2025,LeftFoot,30044,Cremonese,Verona,0,0,2026-01-19 17:30:00,Roberto Gagliardini,Chipped
664380,79,BlockedShot,0.9319999694824219,0.375,0.01957710087299347,Giovane,a,13961,FromCorner,2025,Head,30044,Cremonese,Verona,0,0,2026-01-19 17:30:00,Abdou Harroui,OffsidePass
664381,87,BlockedShot,0.8519999694824218,0.49200000762939455,0.08125487715005875,Giovane,a,13961,OpenPlay,2025,LeftFoot,30044,Cremonese,Verona,0,0,2026-01-19 17:30:00,Gift Orban,BallTouch
666171,89,BlockedShot,0.8619999694824219,0.46900001525878904,0.10390295088291168,Giovane,h,13961,OpenPlay,2025,LeftFoot,30069,Napoli,Fiorentina,2,1,2026-01-31 17:00:00,,BallTouch
671203,85,MissedShots,0.875,0.4829999923706055,0.08898013830184937,Giovane,a,13961,OpenPlay,2025,LeftFoot,30109,Verona,Napoli,1,2,2026-02-28 17:00:00,Romelu Lukaku,Chipped
677385,35,BlockedShot,0.825999984741211,0.5629999923706055,0.08438804000616074,Giovane,h,13961,OpenPlay,2025,LeftFoot,30149,Napoli,AC Milan,1,0,2026-04-06 18:45:00,Mathías Olivera,Pass
677388,50,SavedShot,0.764000015258789,0.335,0.05163015052676201,Giovane,h,13961,OpenPlay,2025,LeftFoot,30149,Napoli,AC Milan,1,0,2026-04-06 18:45:00,Kevin De Bruyne,TakeOn
678331,79,BlockedShot,0.8919999694824219,0.47900001525878905,0.07965319603681564,Giovane,a,13961,OpenPlay,2025,Head,30161,Parma Calcio 1913,Napoli,1,1,2026-04-12 13:00:00,Miguel Gutiérrez,Cross
679313,94,BlockedShot,0.960999984741211,0.2589999961853027,0.03586147353053093,Giovane,h,13961,OpenPlay,2025,LeftFoot,30167,Napoli,Lazio,0,2,2026-04-18 16:00:00,Pasquale Mazzocchi,Pass
680617,80,BlockedShot,0.75,0.620999984741211,0.029728969559073448,Giovane,h,13961,OpenPlay,2025,LeftFoot,30180,Napoli,Cremonese,4,0,2026-04-24 18:45:00,,TakeOn
684754,12,SavedShot,0.915,0.3089999961853027,0.05358761548995972,Giovane,h,13961,OpenPlay,2025,LeftFoot,30201,Napoli,Bologna,2,3,2026-05-11 18:45:00,Matteo Politano,Pass
