goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.01763398014008999,90,DC,Torino,Sassuolo,2,1,2026-05-08,30203,2025,788463,0.05098028481006622,0,1,0,0.01763398014008999,0.7855132222175598,0.7168989777565002
0,0,0,90,DC,Udinese,Torino,2,0,2026-05-02,30193,2025,786925,0.008152194321155548,0,1,0,0,0.558412492275238,0.558412492275238
0,0,0,36,Sub,Torino,Inter,2,2,2026-04-26,30182,2025,786326,0.5039832592010498,0,1,0,0,0.5329056978225708,0.028922419995069504
0,0,0,21,Sub,Cremonese,Torino,0,0,2026-04-19,30173,2025,783643,0,0,0,0,0,0,0
0,0,0,21,Sub,Torino,Verona,2,1,2026-04-11,30163,2025,781476,0,0,0,0,0,0,0
0,0,0,1,Sub,Torino,Parma Calcio 1913,4,1,2026-03-13,30131,2025,776389,0,0,0,0,0,0,0
0,0,0,86,DC,Torino,Bologna,1,2,2026-02-15,30092,2025,770973,0.08262434601783752,0,1,0,0,0.08262434601783752,0
0,0,0,90,DC,Fiorentina,Torino,2,2,2026-02-07,30079,2025,768884,0,0,0,0,0,0.35761407017707825,0.35761407017707825
0,0,0,90,DC,Torino,Lecce,1,0,2026-02-01,30072,2025,767542,0,0,0,0,0,0.603769063949585,0.603769063949585
0,0,0,24,Sub,Napoli,Verona,2,2,2026-01-07,30029,2025,762153,0.28620052337646484,1,2,0,0,0.3219839334487915,0.035783421248197556
0,1,0.011879871599376202,90,DC,AC Milan,Napoli,2,1,2025-09-28,29889,2025,741768,0.021794583648443222,0,1,0,0.011879871599376202,1.1375224590301514,1.1038480997085571
0,1,0.2944326102733612,47,DC,Monza,Empoli,1,3,2025-05-18,27728,2024,729111,0,0,0,0,0.2944326102733612,0,0
0,1,0.014033862389624119,90,DC,Empoli,Parma Calcio 1913,2,1,2025-05-10,27714,2024,726054,0,0,0,0,0.014033862389624119,0.06044958531856537,0.046415723860263824
0,2,0.03649667650461197,90,MC,Empoli,Lazio,0,1,2025-05-04,27704,2024,724484,0.014905593357980251,0,1,0,0.03649667650461197,0.08680512011051178,0.035402849316596985
0,0,0,90,DC,Empoli,Venezia,2,2,2025-04-20,27684,2024,721069,0,0,0,0,0,0,0
0,1,0.060392141342163086,90,DC,Napoli,Empoli,3,0,2025-04-14,27680,2024,719823,0,0,0,0,0.060392141342163086,0.38052839040756226,0.38052839040756226
0,0,0,90,DC,Empoli,Cagliari,0,0,2025-04-06,27666,2024,717390,0,0,0,0,0,0,0
0,0,0,90,DC,Como,Empoli,1,1,2025-03-29,27652,2024,714665,0.13204476237297058,0,1,0,0,0.19875088334083557,0.19875088334083557
0,0,0,90,DC,Torino,Empoli,1,0,2025-03-15,27649,2024,713366,0,0,0,0,0,0.450370192527771,0.450370192527771
0,0,0,90,DC,Empoli,Roma,0,1,2025-03-09,27634,2024,712240,0,0,0,0,0,0,0
0,0,0,90,DC,Genoa,Empoli,1,1,2025-03-02,27625,2024,710308,0,0,0,0,0,0.6014763712882996,0.6014763712882996
0,2,0.2017265409231186,69,DC,Empoli,AC Milan,0,2,2025-02-08,27594,2024,705528,0,0,0,0,0.2017265409231186,0,0
0,0,0,90,DC,Juventus,Empoli,4,1,2025-02-02,27582,2024,703871,0.00674865348264575,0,1,0,0,0.03569919988512993,0.02895054593682289
0,0,0,1,Sub,Venezia,Empoli,1,1,2025-01-04,27551,2024,697242,0,0,0,0,0,0.030255857855081558,0.030255857855081558
0,0,0,8,Sub,Empoli,Genoa,1,2,2024-12-28,27536,2024,696468,0,0,0,0,0,0,0
0,0,0,8,Sub,Atalanta,Empoli,3,2,2024-12-22,27525,2024,695932,0,0,0,0,0,0,0
0,1,0.019454000517725945,4,Sub,Verona,Empoli,1,4,2024-12-08,27506,2024,692831,0,0,0,0,0.019454000517725945,0.019454000517725945,0
0,0,0,17,Sub,AC Milan,Empoli,3,0,2024-11-30,27498,2024,690263,0,0,0,0,0,0.08266544342041016,0.08266544342041016
0,0,0,4,Sub,Empoli,Como,1,0,2024-11-04,27462,2024,686053,0,0,0,0,0,0,0
