id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
583504,41,BlockedShot,0.8419999694824218,0.36200000762939455,0.09056253731250763,Medon Berisha,a,10908,OpenPlay,2023,RightFoot,22684,Napoli,Lecce,0,0,2024-05-26 16:00:00,Pontus Almqvist,Pass
583516,59,BlockedShot,0.8630000305175781,0.3160000038146973,0.0354604609310627,Medon Berisha,a,10908,OpenPlay,2023,RightFoot,22684,Napoli,Lecce,0,0,2024-05-26 16:00:00,,Rebound
585591,88,SavedShot,0.7430000305175781,0.4909999847412109,0.017078641802072525,Medon Berisha,h,10908,OpenPlay,2024,LeftFoot,27370,Lecce,Atalanta,0,4,2024-08-19 16:30:00,Santiago Pierotti,Pass
585592,90,MissedShots,0.7180000305175781,0.4179999923706055,0.011116976849734783,Medon Berisha,h,10908,OpenPlay,2024,RightFoot,27370,Lecce,Atalanta,0,4,2024-08-19 16:30:00,Santiago Pierotti,LayOff
586495,91,SavedShot,0.725,0.6669999694824219,0.013725443743169308,Medon Berisha,a,10908,OpenPlay,2024,RightFoot,27375,Inter,Lecce,2,0,2024-08-24 18:45:00,Federico Baschirotto,Pass
591331,6,MissedShots,0.7430000305175781,0.46299999237060546,0.017286092042922974,Medon Berisha,a,10908,OpenPlay,2024,RightFoot,27401,Torino,Lecce,0,0,2024-09-15 13:00:00,,None
591334,12,SavedShot,0.76,0.62,0.022271769121289253,Medon Berisha,a,10908,OpenPlay,2024,RightFoot,27401,Torino,Lecce,0,0,2024-09-15 13:00:00,Tete Morente,BallRecovery
606110,90,ShotOnPost,0.735999984741211,0.6409999847412109,0.010973889380693436,Medon Berisha,a,10908,OpenPlay,2024,RightFoot,27510,Roma,Lecce,4,1,2024-12-07 19:45:00,Tete Morente,Pass
607356,11,BlockedShot,0.7240000152587891,0.47200000762939454,0.017436914145946503,Medon Berisha,h,10908,OpenPlay,2024,RightFoot,27516,Lecce,Monza,2,1,2024-12-15 11:30:00,Frederic Guilbert,Pass
607367,47,SavedShot,0.794000015258789,0.7119999694824218,0.06059068441390991,Medon Berisha,h,10908,DirectFreekick,2024,RightFoot,27516,Lecce,Monza,2,1,2024-12-15 11:30:00,,Standard
608551,67,BlockedShot,0.695,0.6379999923706055,0.009574179537594318,Medon Berisha,h,10908,OpenPlay,2024,RightFoot,27530,Lecce,Lazio,1,2,2024-12-21 19:45:00,,None
616642,84,MissedShots,0.865,0.34599998474121096,0.039276476949453354,Medon Berisha,h,10908,FromCorner,2024,RightFoot,27597,Lecce,Bologna,0,0,2025-02-09 17:00:00,Jesper Karlsson,Pass
618163,58,BlockedShot,0.905,0.6869999694824219,0.05317205563187599,Medon Berisha,h,10908,OpenPlay,2024,LeftFoot,27615,Lecce,Udinese,0,1,2025-02-21 19:45:00,Jesper Karlsson,Pass
618165,63,MissedShots,0.7559999847412109,0.545,0.017763609066605568,Medon Berisha,h,10908,FromCorner,2024,RightFoot,27615,Lecce,Udinese,0,1,2025-02-21 19:45:00,,None
618169,82,BlockedShot,0.7809999847412109,0.7609999847412109,0.0158058013767004,Medon Berisha,h,10908,FromCorner,2024,RightFoot,27615,Lecce,Udinese,0,1,2025-02-21 19:45:00,Jesper Karlsson,Pass
622272,3,MissedShots,0.7130000305175781,0.475,0.01450806763023138,Medon Berisha,a,10908,OpenPlay,2024,RightFoot,27646,Genoa,Lecce,2,1,2025-03-14 19:45:00,Nikola Krstovic,Pass
622274,14,MissedShots,0.845999984741211,0.40700000762939453,0.06965238600969315,Medon Berisha,a,10908,OpenPlay,2024,RightFoot,27646,Genoa,Lecce,2,1,2025-03-14 19:45:00,Frederic Guilbert,Pass
622284,58,BlockedShot,0.7340000152587891,0.509000015258789,0.015340263955295086,Medon Berisha,a,10908,FromCorner,2024,RightFoot,27646,Genoa,Lecce,2,1,2025-03-14 19:45:00,,None
622290,76,BlockedShot,0.7,0.5840000152587891,0.012617661617696285,Medon Berisha,a,10908,FromCorner,2024,RightFoot,27646,Genoa,Lecce,2,1,2025-03-14 19:45:00,,None
624393,78,SavedShot,0.7809999847412109,0.28899999618530275,0.015716029331088066,Medon Berisha,h,10908,OpenPlay,2024,LeftFoot,27657,Lecce,Roma,0,1,2025-03-29 19:45:00,Konan N’Dri,Pass
624399,90,BlockedShot,0.7519999694824219,0.565,0.019164670258760452,Medon Berisha,h,10908,OpenPlay,2024,RightFoot,27657,Lecce,Roma,0,1,2025-03-29 19:45:00,Nikola Krstovic,Pass
626067,75,MissedShots,0.7169999694824218,0.664000015258789,0.013027053326368332,Medon Berisha,h,10908,OpenPlay,2024,RightFoot,27668,Lecce,Venezia,1,1,2025-04-06 10:30:00,Tete Morente,Pass
626071,83,BlockedShot,0.7559999847412109,0.3679999923706055,0.057207316160202026,Medon Berisha,h,10908,DirectFreekick,2024,RightFoot,27668,Lecce,Venezia,1,1,2025-04-06 10:30:00,,Standard
