id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
644079,46,SavedShot,0.905,0.545,0.08492777496576309,Simone Canestrelli,a,9853,OpenPlay,2025,RightFoot,29883,Napoli,Pisa,3,2,2025-09-22 18:45:00,,None
644087,57,BlockedShot,0.960999984741211,0.5540000152587891,0.14447112381458282,Simone Canestrelli,a,9853,FromCorner,2025,RightFoot,29883,Napoli,Pisa,3,2,2025-09-22 18:45:00,Mateus Lusuardi,Rebound
646679,48,MissedShots,0.8719999694824219,0.57,0.011835247278213501,Simone Canestrelli,a,9853,SetPiece,2025,Head,29895,Bologna,Pisa,4,0,2025-10-05 13:00:00,Samuele Angori,Aerial
651962,78,MissedShots,0.9269999694824219,0.44299999237060544,0.0949961468577385,Simone Canestrelli,h,9853,SetPiece,2025,RightFoot,29952,Pisa,Cremonese,1,0,2025-11-07 19:45:00,Idrissa Touré,HeadPass
657962,94,BlockedShot,0.8590000152587891,0.5029999923706054,0.028428245335817337,Simone Canestrelli,a,9853,OpenPlay,2025,Head,29988,Lecce,Pisa,1,0,2025-12-12 19:45:00,Michel Aebischer,Cross
659623,21,MissedShots,0.9369999694824219,0.5070000076293946,0.13397009670734406,Simone Canestrelli,a,9853,FromCorner,2025,RightFoot,29994,Cagliari,Pisa,2,2,2025-12-21 11:30:00,Samuele Angori,Cross
659624,26,BlockedShot,0.87,0.524000015258789,0.02277049422264099,Simone Canestrelli,a,9853,FromCorner,2025,Head,29994,Cagliari,Pisa,2,2,2025-12-21 11:30:00,Samuele Angori,Cross
662396,87,MissedShots,0.9059999847412109,0.43099998474121093,0.043401382863521576,Simone Canestrelli,a,9853,OpenPlay,2025,Head,30042,Udinese,Pisa,2,2,2026-01-10 14:00:00,,Aerial
663319,6,BlockedShot,0.9209999847412109,0.4979999923706055,0.06353045254945755,Simone Canestrelli,h,9853,SetPiece,2025,Head,30049,Pisa,Atalanta,1,1,2026-01-16 19:45:00,Samuele Angori,Aerial
664554,74,MissedShots,0.9309999847412109,0.46799999237060547,0.21705736219882965,Simone Canestrelli,a,9853,FromCorner,2025,Head,30058,Inter,Pisa,6,2,2026-01-23 19:45:00,Mehdi Leris,Aerial
670556,95,MissedShots,0.94,0.6519999694824219,0.2392018884420395,Simone Canestrelli,a,9853,OpenPlay,2025,RightFoot,30097,Fiorentina,Pisa,1,0,2026-02-23 17:30:00,Henrik Meister,Aerial
677147,62,MissedShots,0.7180000305175781,0.48700000762939455,0.014409058727324009,Simone Canestrelli,h,9853,OpenPlay,2025,RightFoot,30150,Pisa,Torino,0,1,2026-04-05 16:00:00,,TakeOn
679842,18,Goal,0.9109999847412109,0.45299999237060545,0.06958163529634476,Simone Canestrelli,h,9853,FromCorner,2025,Head,30168,Pisa,Genoa,1,2,2026-04-19 16:00:00,Samuele Angori,Cross
681948,25,SavedShot,0.855,0.515,0.06595925986766815,Simone Canestrelli,h,9853,OpenPlay,2025,RightFoot,30190,Pisa,Lecce,1,2,2026-05-01 18:45:00,Mehdi Leris,Cross
681960,78,MissedShots,0.9069999694824219,0.5559999847412109,0.019304458051919937,Simone Canestrelli,h,9853,FromCorner,2025,Head,30190,Pisa,Lecce,1,2,2026-05-01 18:45:00,Mehdi Leris,Aerial
