goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,3,Sub,Juventus,Como,0,2,2026-02-21,30099,2025,771542,0,0,0,0,0,0,0
0,1,0.029375838115811348,1,Sub,Cagliari,Juventus,1,0,2026-01-17,30053,2025,764546,0,0,0,0,0.029375838115811348,0.09708163887262344,0.09708163887262344
0,0,0,14,Sub,Juventus,Cremonese,5,0,2026-01-12,30039,2025,763359,0,0,0,0,0,0,0
0,0,0,2,Sub,Sassuolo,Juventus,0,3,2026-01-06,30032,2025,762079,0,0,0,0,0,0.0618438757956028,0.0618438757956028
0,0,0,4,Sub,Juventus,Lecce,1,1,2026-01-03,30020,2025,761174,0,0,0,0,0,0.07353157550096512,0.07353157550096512
0,0,0,2,Sub,Juventus,Torino,0,0,2025-11-08,29949,2025,750330,0,0,0,0,0,0,0
0,0,0,8,Sub,Cremonese,Juventus,1,2,2025-11-01,29934,2025,748733,0.06469327211380005,0,1,0,0,0.06469327211380005,0.06469327211380005
0,3,0.17628338932991028,61,AMC,Juventus,Atalanta,1,1,2025-09-27,29887,2025,740818,0.0851946622133255,0,2,0,0.17628338932991028,0.1536647230386734,0.061980802565813065
0,1,0.009419215843081474,31,Sub,Verona,Juventus,1,1,2025-09-20,29876,2025,738768,0.03239376097917557,0,1,0,0.009419215843081474,0,0
1,1,0.011918311007320881,16,Sub,Juventus,Inter,4,3,2025-09-13,29865,2025,737099,0,0,0,1,0.011918311007320881,0.027497323229908943,0.015579012222588062
0,0,0,1,Sub,Juventus,Udinese,2,0,2025-05-18,27731,2024,729010,0,0,0,0,0,0,0
0,0,0,10,Sub,Lazio,Juventus,1,1,2025-05-10,27716,2024,725893,0,0,0,0,0,0,0
0,0,0,2,Sub,Bologna,Juventus,1,1,2025-05-04,27702,2024,725147,0,0,0,0,0,0,0
0,0,0,1,Sub,Juventus,AC Milan,2,0,2025-01-18,27568,2024,700156,0,0,0,0,0,0,0
0,0,0,3,Sub,Monza,Juventus,1,2,2024-12-22,27528,2024,696024,0,0,0,0,0,0.053705476224422455,0.053705476224422455
0,1,0.027242431417107582,16,Sub,Juventus,Lazio,1,0,2024-10-19,27438,2024,681700,0,0,0,0,0.027242431417107582,0.04457741230726242,0.01733497902750969
