goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,65,DC,Cagliari,Udinese,0,2,2026-05-09,30195,2025,788618,0.02408590354025364,0,1,0,0,0.3718918263912201,0.3718918263912201
0,1,0.38740280270576477,90,DR,Bologna,Cagliari,0,0,2026-05-03,30185,2025,787481,0,0,0,0,0.38740280270576477,0,0
0,1,0.06823432445526123,90,DC,Cagliari,Atalanta,3,2,2026-04-27,30175,2025,786506,0,0,0,0,0.06823432445526123,0,0
0,0,0,89,DC,Inter,Cagliari,3,0,2026-04-17,30164,2025,782989,0,0,0,0,0,0.026669777929782867,0.026669777929782867
0,0,0,26,Sub,Cagliari,Cremonese,1,0,2026-04-11,30156,2025,781444,0.4095901846885681,1,1,0,0,0.8489187955856323,0.4393285810947418
0,0,0,86,DC,Sassuolo,Cagliari,2,1,2026-04-04,30151,2025,779907,0,0,0,0,0,0.4396189749240875,0.4396189749240875
0,0,0,75,DC,Cagliari,Napoli,0,1,2026-03-20,30136,2025,778023,0,0,0,0,0,0,0
0,0,0,81,DR,Pisa,Cagliari,3,1,2026-03-15,30129,2025,777415,0,0,0,0,0,0.03346092998981476,0.03346092998981476
0,0,0,76,DR,Cagliari,Como,1,2,2026-03-07,30116,2025,775065,0,0,0,0,0,0.041954342275857925,0.041954342275857925
0,0,0,90,DC,Parma Calcio 1913,Cagliari,1,1,2026-02-27,30106,2025,772839,0.02414473332464695,0,1,0,0,0.21171051263809204,0.18756577372550964
0,2,0.09499907493591309,90,DR,Cagliari,Lazio,0,0,2026-02-21,30096,2025,771903,0,0,0,0,0.09499907493591309,0.13478456437587738,0.11676962673664093
0,0,0,90,DC,Cagliari,Lecce,0,2,2026-02-16,30084,2025,771162,0,0,0,0,0,0,0
0,0,0,88,DC,Roma,Cagliari,2,0,2026-02-09,30076,2025,769654,0,0,0,0,0,0,0
0,0,0,90,DC,Cagliari,Verona,4,0,2026-01-31,30065,2025,767416,0,0,0,0,0,0.5432508587837219,0.5432508587837219
0,1,0.10218311101198196,90,DC,Fiorentina,Cagliari,1,2,2026-01-24,30056,2025,765764,0,0,0,0,0.10218311101198196,0.3189564645290375,0.3189564645290375
0,0,0,90,DC,Cagliari,Juventus,1,0,2026-01-17,30053,2025,764523,0,0,0,0,0,0,0
0,0,0,90,DC,Cagliari,Sassuolo,1,2,2025-10-30,29926,2025,747836,0,0,0,0,0,0,0
0,0,0,90,DC,Verona,Cagliari,2,2,2025-10-26,29915,2025,746509,0,0,0,0,0,0.30594176054000854,0.30594176054000854
0,0,0,21,Sub,Cagliari,Bologna,0,2,2025-10-19,29905,2025,744823,0,0,0,0,0,0,0
0,0,0,90,DC,Udinese,Cagliari,1,1,2025-10-05,29902,2025,742876,0,0,0,0,0,0.12795868515968323,0.12795868515968323
0,0,0,61,DC,Cagliari,Inter,0,2,2025-09-27,29884,2025,741001,0,0,0,0,0,0,0
0,0,0,1,Sub,Cagliari,Parma Calcio 1913,2,0,2025-09-13,29864,2025,736606,0,0,0,0,0,0,0
