h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.04697,1.02901,2.04697,1.02901,"{'att': 156, 'def': 11}","{'att': 305, 'def': 27}",13,4,1,1,2.1319999999999997,d,2025-08-24 18:45:00,0,1,0,1,1.01796
a,1.19727,0.751112,1.19727,0.751112,"{'att': 175, 'def': 17}","{'att': 244, 'def': 25}",13,3,1,1,1.7005,d,2025-08-30 16:30:00,0,1,0,1,0.44615800000000005
h,2.62415,0.532382,2.62415,0.532382,"{'att': 155, 'def': 20}","{'att': 274, 'def': 15}",12,4,4,1,2.6961000000000004,w,2025-09-14 13:00:00,1,0,0,3,2.091768
a,1.67723,1.31336,1.67723,0.43578,"{'att': 244, 'def': 19}","{'att': 383, 'def': 24}",8,4,3,0,1.6584999999999999,w,2025-09-21 13:00:00,1,0,0,3,1.24145
a,0.885278,1.84242,0.885278,1.84242,"{'att': 344, 'def': 11}","{'att': 180, 'def': 20}",1,10,1,1,0.6609,d,2025-09-27 16:00:00,0,1,0,1,-0.9571419999999999
h,1.74169,0.959121,1.74169,0.959121,"{'att': 304, 'def': 31}","{'att': 289, 'def': 24}",13,4,1,1,1.9987,d,2025-10-04 18:45:00,0,1,0,1,0.782569
h,2.38095,0.220276,2.38095,0.220276,"{'att': 259, 'def': 22}","{'att': 360, 'def': 18}",10,0,0,0,2.8697,d,2025-10-19 16:00:00,0,1,0,1,2.1606739999999998
a,1.62371,0.967146,1.62371,0.967146,"{'att': 127, 'def': 14}","{'att': 286, 'def': 12}",11,3,1,1,1.8684,d,2025-10-25 18:45:00,0,1,0,1,0.656564
h,1.28167,0.626418,1.28167,0.626418,"{'att': 253, 'def': 19}","{'att': 273, 'def': 14}",6,4,1,1,1.8921999999999997,d,2025-10-28 18:45:00,0,1,0,1,0.6552520000000001
a,0.270197,0.707338,0.270197,0.707338,"{'att': 179, 'def': 16}","{'att': 347, 'def': 30}",5,3,0,1,0.8022,l,2025-11-01 14:00:00,0,0,1,0,-0.437141
h,0.707859,2.20132,0.707859,1.44002,"{'att': 195, 'def': 21}","{'att': 384, 'def': 19}",8,4,0,3,0.3305,l,2025-11-09 11:30:00,0,0,1,0,-0.7321610000000001
a,0.825775,2.02765,0.825775,2.02765,"{'att': 267, 'def': 19}","{'att': 297, 'def': 17}",7,3,1,3,0.48119999999999996,l,2025-11-22 19:45:00,0,0,1,0,-1.2018749999999998
h,2.29028,2.01961,2.29028,2.01961,"{'att': 305, 'def': 25}","{'att': 232, 'def': 17}",13,5,2,0,1.5427,w,2025-11-30 17:00:00,1,0,0,3,0.27066999999999997
a,1.76527,1.60244,1.00397,1.60244,"{'att': 119, 'def': 19}","{'att': 312, 'def': 27}",10,9,1,3,1.5084,l,2025-12-06 19:45:00,0,0,1,0,-0.5984700000000001
h,3.08558,0.568619,3.08558,0.568619,"{'att': 255, 'def': 23}","{'att': 305, 'def': 23}",9,5,2,1,2.8449,w,2025-12-13 19:45:00,1,0,0,3,2.5169610000000002
a,1.76564,0.967673,1.76564,0.967673,"{'att': 105, 'def': 29}","{'att': 202, 'def': 14}",4,4,1,0,1.971,w,2025-12-21 19:45:00,1,0,0,3,0.7979670000000001
h,1.16924,1.63271,1.16924,1.63271,"{'att': 322, 'def': 17}","{'att': 251, 'def': 30}",3,10,0,1,0.9945999999999999,l,2025-12-28 19:45:00,0,0,1,0,-0.46347000000000005
h,2.73637,1.01018,2.73637,1.01018,"{'att': 266, 'def': 22}","{'att': 164, 'def': 24}",3,12,1,0,2.6352,w,2026-01-03 19:45:00,1,0,0,3,1.72619
a,1.33342,1.11527,1.33342,1.11527,"{'att': 239, 'def': 21}","{'att': 184, 'def': 15}",9,2,2,0,1.5272,w,2026-01-07 17:30:00,1,0,0,3,0.21815000000000007
h,2.55106,0.945872,2.55106,0.945872,"{'att': 221, 'def': 27}","{'att': 257, 'def': 30}",13,9,2,0,2.4178,w,2026-01-10 19:45:00,1,0,0,3,1.605188
a,1.77359,1.63695,1.77359,1.63695,"{'att': 117, 'def': 14}","{'att': 255, 'def': 23}",7,15,1,1,1.4905,d,2026-01-16 19:45:00,0,1,0,1,0.1366400000000001
h,5.01888,1.86533,4.25758,1.86533,"{'att': 285, 'def': 25}","{'att': 256, 'def': 17}",15,6,4,0,2.8536,w,2026-01-25 14:00:00,1,0,0,3,2.3922499999999998
a,0.785014,5.96884,0.785014,5.20754,"{'att': 336, 'def': 13}","{'att': 82, 'def': 21}",1,22,0,0,0.0085,d,2026-02-01 14:00:00,0,1,0,1,-4.4225259999999995
h,3.12119,0.914806,3.12119,0.914806,"{'att': 205, 'def': 14}","{'att': 277, 'def': 21}",7,4,2,1,2.6129000000000002,w,2026-02-09 17:30:00,1,0,0,3,2.206384
a,1.82116,1.54366,1.05986,1.54366,"{'att': 287, 'def': 20}","{'att': 352, 'def': 21}",7,6,2,0,1.6253,w,2026-02-14 17:00:00,1,0,0,3,-0.4838
h,0.962214,1.05903,0.962214,1.05903,"{'att': 239, 'def': 25}","{'att': 236, 'def': 26}",6,5,2,1,1.2149,w,2026-02-22 14:00:00,1,0,0,3,-0.0968159999999999
a,3.74717,1.81132,3.74717,1.81132,"{'att': 92, 'def': 29}","{'att': 204, 'def': 6}",27,5,1,2,2.4770000000000003,l,2026-03-01 14:00:00,0,0,1,0,1.93585
h,1.99854,0.860054,1.99854,0.860054,"{'att': 138, 'def': 21}","{'att': 357, 'def': 15}",10,4,2,2,2.2016999999999998,d,2026-03-07 17:00:00,0,1,0,1,1.1384859999999999
a,0.867146,2.0286,0.867146,2.0286,"{'att': 397, 'def': 15}","{'att': 280, 'def': 20}",8,19,1,1,0.5524,d,2026-03-14 14:00:00,0,1,0,1,-1.161454
h,1.74248,0.765772,1.74248,0.765772,"{'att': 216, 'def': 24}","{'att': 276, 'def': 23}",8,5,1,0,2.1652,w,2026-03-22 14:00:00,1,0,0,3,0.976708
a,2.81595,0.364274,2.81595,0.364274,"{'att': 138, 'def': 24}","{'att': 271, 'def': 25}",16,6,3,0,2.7988999999999997,w,2026-04-06 13:00:00,1,0,0,3,2.451676
h,1.8886,1.18681,1.8886,1.18681,"{'att': 258, 'def': 21}","{'att': 289, 'def': 12}",15,8,0,1,1.8706,l,2026-04-11 18:45:00,0,0,1,0,0.7017900000000001
a,0.660238,1.70941,0.660238,1.70941,"{'att': 304, 'def': 19}","{'att': 287, 'def': 16}",5,9,1,1,0.5638,d,2026-04-18 18:45:00,0,1,0,1,-1.049172
a,1.7579,2.00771,1.7579,2.00771,"{'att': 134, 'def': 26}","{'att': 455, 'def': 14}",12,2,2,3,1.1333,l,2026-04-27 16:30:00,0,0,1,0,-0.24980999999999987
h,1.66082,0.438786,1.66082,0.438786,"{'att': 176, 'def': 31}","{'att': 240, 'def': 25}",15,3,0,0,2.3574,d,2026-05-02 18:45:00,0,1,0,1,1.2220339999999998
a,1.60752,2.28396,1.60752,1.52266,"{'att': 347, 'def': 29}","{'att': 245, 'def': 16}",12,8,3,2,0.8861,w,2026-05-10 18:45:00,1,0,0,3,0.08486000000000016
